id,question,arabic_question,translation_time_sec
1,"Which number should be written in place of the question mark?
<image1>",يجب كتابة الرقم __ في مكان علامة الاستفهام.,28.8
2,"Which bike is most expensive?
<image1>","ما هي الدراجة الأكثر تكلفة؟
<الصورة1>",2.96
3,"Which kite has the longest string?
<image1>","أي شراع له أطول خيط؟
<الصورة1>",3.1
4,"How many different digits can you find in this picture?
<image1>","كم عدد الأرقام المختلفة التي يمكنك العثور عليها في هذه الصورة؟

(ملاحظة: لا يمكنني عرض أو معالجة الصور، لذا تم تقديم الطلب بدون إرفاق أي محتوى مرئي.)",4.26
5,"Which number do you have to write in the last daisy?
<image1>",ما الرقم الذي يجب كتابته في الزهرة الأخيرة؟,2.88
6,"Misty the cat has five kittens: two of them are striped, one spotty, the rest of them are absolutely white. In which picture can we see the kittens of Misty, knowing that the ears of one of them are of different colour?
<image1>",في الصورة <image1>.,2.74
7,"How many bricks are missing in the wall?
<image1>","كم من الطوب مفقود في الجدار؟
<صورة1>",3.1
8,"The sums of the all the three numbers on each side of the triangle are equal. Two numbers happened to be stained with ink. How much is the sum of these two numbers?
<image1>",مجموع الأرقام الثلاثة في كل جانب من مثلث متساوي الأضلاع متساوٍ. حدث أن لُطخ رقمين بالحبر. ما هو مجموع هاتين الرقمين؟,4.03
9,"A squirrel is following the paths of labyrinth and collecting food for winter. Which stuff it will not be able to take?
<image1>",لا يستطيع السنجاب حمل: <الصورة1>,2.92
10,"Four people can be seated at a square table. How many people at most could be seated if we pushed four tables of this kind together in one row?
<image1>",يمكن جلوس أربعة أشخاص على طاولة مربعة. لذا، إذا قمنا بتوصيل أربع طاولات من هذا النوع في صف واحد، فكم عدد الأشخاص الذين يمكن جلوسهم كحد أقصى؟,4.09
11,"Mike has built a construction, shown in the upper picture, from equal cubes. Lily has taken several cubes out of it, thus Mike's construction became such as we see in the lower picture. How many cubes has Lily taken?
<image1>",كم عدد المكعبات التي أخذتها ليلي؟,2.68
