id,level,subject,image,question,ground_truth,model_answer,evaluation_passed,run_time,ComplexEval
1,2,arithmetic,images/1.jpg,ما الرقم الذي يجب وضعه مكان علامة الاستفهام؟,60,60,True,2.273,True
2,2,arithmetic,images/2.jpg,أي دراجة هي الأغلى؟,A,A,True,1.266,True
3,1,metric geometry - length,images/3.jpg,أي طائرة ورقية لديها الخيط الأطول؟,C,C,True,1.259,True
4,1,counting,images/4.jpg,كم عدد الأرقام المختلفة التي يمكنك العثور عليها في هذه الصورة؟,6,3,False,1.866,False
5,2,arithmetic,images/5.jpg,ما هو الرقم الذي يجب كتابته في زهرة الأقحوان الأخيرة؟,61,61,True,1.616,True
6,3,logic,images/6.jpg,"للمعرفة في أي صورة يمكننا رؤية قطط ميستي، علماً بأن أذني أحدها بلون مختلف؟
<image1>",D,D,True,1.811,True
7,1,counting,images/7.jpg,كم عدد الطوب المفقود في الجدار؟,6,4,False,1.046,False
8,2,arithmetic,images/8.jpg,مجموع الأرقام الثلاثة على كل ضلع من أضلاع المثلث متساوٍ. تم تلطيخ رقمين بالحبر. ما هو مجموع هذين الرقمين؟,2,10,False,1.191,False
9,1,graph theory,images/9.jpg,يتبع السنجاب مسارات المتاهة ويجمع الطعام للشتاء. ما الشيء الذي لن يتمكن من أخذه؟,D,C,False,7.848,False
10,2,arithmetic,images/10.jpg,يمكن الجلوس لأربعة أشخاص على طاولة مربعة. ما هو الحد الأقصى لعدد الأشخاص الذين يمكن جلوسهم إذا رصصنا أربع طاولات من هذا النوع في صف واحد؟,10,16,False,0.63,False
11,1,solid geometry,images/11.jpg,بنى مايك بناءً إنشائياً، موضحاً في الصورة العلوية، من مكعبات متساوية. أخذت ليلي عدة مكعبات منه، فأصبح بناء مايك كما نراه في الصورة السفلية. كم عدد المكعبات التي أخذتها ليلي؟,7,4,False,0.674,False
12,2,arithmetic,images/12.jpg,الآن هو عام 2008. ما هو المجموع الكلي لهذه الأرقام؟,10,315,False,1.09,False
13,2,transformation geometry,images/13.jpg,أي من هذه الأشكال يختلف عن الأربعة الأخرى؟,E,E,True,1.448,True
14,1,counting,images/14.jpg,كتبت ماري جميع الأرقام من 1 إلى 30. كم مرة كتبت الرقم 2؟,13,6,False,1.177,False
15,2,arithmetic,images/15.jpg,احتفلت إميلي بعيد ميلادها يوم الخميس، وأختها ليابا قبل 8 أيام. ما هو اليوم الذي كان عليه ذلك؟,A,الجمعة.,False,1.454,False
16,2,arithmetic,images/16.jpg,كم عدد النقاط الموجودة على الجوانب الثلاثة غير المرئية للزهر؟,11,9,False,0.811,False
17,2,arithmetic,images/17.jpg,قفزة الكنغر الصغير أقصر بثلاث مرات من قفزة أمه. فكم قفزة يجب أن يقوم بها الكنغر الصغير ليغطي مسافة تعادل 7 قفزات من أمه؟,21,21,True,2.836,True
18,2,arithmetic,images/18.jpg,يجب تقطيع جذع خشب طوله 15 مترًا إلى قطع يبلغ طول كل منها 3 أمتار. فكم عدد القطوع اللازمة لذلك؟,4,4,True,1.098,True
19,2,arithmetic,images/19.jpg,أخذت إيف 2 موزة إلى المدرسة. في البداية، حولت كل واحدة منهما إلى 4 تفاحات، وفي وقت لاحق، استبدلت كل تفاحة بـ 3 يوسفي. كم عدد اليوسفي الذي حصلت عليه إيف؟,D,24,False,1.074,False
20,2,arithmetic,images/20.jpg,كم عدد الخوخ (انظر الصورة) الذي يزن مثل التفاحة؟,3,خمسة,False,1.254,False
21,1,combinatorial geometry,images/21.jpg,أي من الأشكال الموضحة أدناه لا يمكن قصه من الشكل الموضح بالجانب؟,C,C,True,1.305,True
22,2,arithmetic,images/22.jpg,كم الساعة الآن، إذا كانت الساعة ستُظهر 4:00 بعد 6 ساعات و 30 دقيقة؟,E,10:30,False,1.05,False
