id,level,subject,image,question,ground_truth,model_answer,run_time
1,2,arithmetic,images/1.jpg,ما الرقم الذي يجب وضعه مكان علامة الاستفهام؟,60,A,1.451
2,2,arithmetic,images/2.jpg,أي دراجة هي الأغلى؟,A,A,1.278
3,1,metric geometry - length,images/3.jpg,أي طائرة ورقية لديها الخيط الأطول؟,C,E,1.237
4,1,counting,images/4.jpg,كم عدد الأرقام المختلفة التي يمكنك العثور عليها في هذه الصورة؟,6,5,0.962
5,2,arithmetic,images/5.jpg,ما هو الرقم الذي يجب كتابته في زهرة الأقحوان الأخيرة؟,61,A,1.056
6,3,logic,images/6.jpg,"للمعرفة في أي صورة يمكننا رؤية قطط ميستي، علماً بأن أذني أحدها بلون مختلف؟
<image1>",D,A,1.229
7,1,counting,images/7.jpg,كم عدد الطوب المفقود في الجدار؟,6,4,1.095
8,2,arithmetic,images/8.jpg,مجموع الأرقام الثلاثة على كل ضلع من أضلاع المثلث متساوٍ. تم تلطيخ رقمين بالحبر. ما هو مجموع هذين الرقمين؟,2,A,3.086
9,1,graph theory,images/9.jpg,يتبع السنجاب مسارات المتاهة ويجمع الطعام للشتاء. ما الشيء الذي لن يتمكن من أخذه؟,D,C,1.163
10,2,arithmetic,images/10.jpg,يمكن الجلوس لأربعة أشخاص على طاولة مربعة. ما هو الحد الأقصى لعدد الأشخاص الذين يمكن جلوسهم إذا رصصنا أربع طاولات من هذا النوع في صف واحد؟,10,D,0.977
11,1,solid geometry,images/11.jpg,بنى مايك بناءً إنشائياً، موضحاً في الصورة العلوية، من مكعبات متساوية. أخذت ليلي عدة مكعبات منه، فأصبح بناء مايك كما نراه في الصورة السفلية. كم عدد المكعبات التي أخذتها ليلي؟,7,A,0.975
12,2,arithmetic,images/12.jpg,الآن هو عام 2008. ما هو المجموع الكلي لهذه الأرقام؟,10,A,1.012
13,2,transformation geometry,images/13.jpg,أي من هذه الأشكال يختلف عن الأربعة الأخرى؟,E,E,1.08
14,1,counting,images/14.jpg,كتبت ماري جميع الأرقام من 1 إلى 30. كم مرة كتبت الرقم 2؟,13,C,1.072
15,2,arithmetic,images/15.jpg,احتفلت إميلي بعيد ميلادها يوم الخميس، وأختها ليابا قبل 8 أيام. ما هو اليوم الذي كان عليه ذلك؟,A,A,1.007
16,2,arithmetic,images/16.jpg,كم عدد النقاط الموجودة على الجوانب الثلاثة غير المرئية للزهر؟,11,A,0.95
17,2,arithmetic,images/17.jpg,قفزة الكنغر الصغير أقصر بثلاث مرات من قفزة أمه. فكم قفزة يجب أن يقوم بها الكنغر الصغير ليغطي مسافة تعادل 7 قفزات من أمه؟,21,A,1.009
18,2,arithmetic,images/18.jpg,يجب تقطيع جذع خشب طوله 15 مترًا إلى قطع يبلغ طول كل منها 3 أمتار. فكم عدد القطوع اللازمة لذلك؟,4,A,1.012
19,2,arithmetic,images/19.jpg,أخذت إيف 2 موزة إلى المدرسة. في البداية، حولت كل واحدة منهما إلى 4 تفاحات، وفي وقت لاحق، استبدلت كل تفاحة بـ 3 يوسفي. كم عدد اليوسفي الذي حصلت عليه إيف؟,D,A,0.918
20,2,arithmetic,images/20.jpg,كم عدد الخوخ (انظر الصورة) الذي يزن مثل التفاحة؟,3,A,1.018
21,1,combinatorial geometry,images/21.jpg,أي من الأشكال الموضحة أدناه لا يمكن قصه من الشكل الموضح بالجانب؟,C,A,1.281
22,2,arithmetic,images/22.jpg,كم الساعة الآن، إذا كانت الساعة ستُظهر 4:00 بعد 6 ساعات و 30 دقيقة؟,E,A,0.991
23,1,combinatorial geometry,images/23.jpg,"اشترى توم قلب شوكولاتة (انظر الصورة) لماري في عيد ميلادها.
كم يزن الشوكولاتة بالجرام، إذا كان وزن كل مربع 10 جرامات؟",140,A,0.981
