row_id,question,choices,answer,answer_letter,category,country,image_id,question_type,annotation_id,model_answer,Evaluation,run_time,EvalMethod
0,ما هو الموقع الذي يحيط بالسراي الحمراء ويوفر مساحة للتنزه والأنشطة العامة؟,['A. ساحة واسعةB. ممشى ضيقC. موقف سياراتD. حديقة صغيرة'],ساحة واسعة,A,LandMarks,Libya,131625,multiple_choice,18106,C,0.0,1.81,mc_letter
1,الظاهر في الصورة هو باب ضخم مصنوع من الخشب المزخرف بالذهب، وهذا الباب هو جزء من توسعة المسجد النبوي في عهد الملك فهد.,[],'TRUE',,Architecture,Saudi_Arabia,32236,true_false,8530,TRUE,1.0,1.58,true_false_exact
2,ما الذي يظهر في الصورة يعكس أهمية الحرب في الثقافة الآشورية؟,['A. النقوش التي تصور الحياة اليومية في الحدائقB. النقوش التي تصور الاحتفالات الثقافيةC. النقوش التي تصور الطقوس الدينيةD. النقوش التي تصور المعارك والانتصارات العسكرية'],النقوش التي تصور المعارك والانتصارات العسكرية,D,Architecture,Iraq,78328,multiple_choice,17098,TRUE,0.0,1.48,mc_no_match
3,الكَدْرُون هو لباس تقليدي يرتبط بالأنشطة الزراعية والبحرية في تونس.,[],'TRUE',,Clothes,Tunisia,38927.png,true_false,16945,TRUE,1.0,1.64,true_false_exact
4,ما هي الميزة الطبيعية التي كما يظهر في الصورة وتعطي جواً من الطبيعة والهدوء؟,['A. نخيل جافةB. صخور جبليةC. بحيرة صغيرةD. أشجار خضراء على جانبي الشارع'],أشجار خضراء على جانبي الشارع,D,Geography,UAE,50331.png,multiple_choice,10741,C,0.0,1.78,mc_letter
5,كيف يتم عرض سمك البلطي في الصورة؟,['A. معبأ في صناديقB. مغطى بالثلجC. معلق على عصا خشبيةD. مطبوخ في مقلاة'],معلق على عصا خشبية,C,Food,Egypt,68227,multiple_choice,283,TRUE,0.0,1.56,mc_no_match
6,ما هي المادة التي تغطي السقف كما يظهر في الصورة؟,['A. الرصاصB. الزجاجC. الحديدD. الخشب'],الرصاص,A,Architecture,Palestine,2825,multiple_choice,9008,C,0.0,1.82,mc_letter
7,ما هو نوع القماش الذي يستخدم في صناعة الفستان التقليدي الذي يظهر في الصورة؟,['A. الكتان الطبيعيB. القطن الخفيفC. الحرير الناعمD. المخمل السميك'],المخمل السميك,D,Clothes,Algeria,66449.png,multiple_choice,26377,C,0.0,1.62,mc_letter
8,ما هو المعلم البارز الذي يظهر في الصورة ويتميز بتصميمه الفريد ونقوشه الإسلامية الجميلة؟,['A. البرج المراقبةB. المسجد الكبيرC. المبنى الرئيسي للمطارD. المئذنة'],المئذنة,D,Architecture,Saudi_Arabia,32257,multiple_choice,8543,C,0.0,1.65,mc_letter
9,ما هو المكان الذي يظهر في الصورة ويُعتقد أن القديس يوحنا عاش فيه ويتواجد الآن كمصلى؟,['A. الحديقةB. المغارةC. الكنيسةD. البئر'],المغارة,B,Architecture,Palestine,3114,multiple_choice,1163,C,0.0,1.73,mc_letter
10,الكسكس هو جزء من التراث الثقافي في موريتانيا كما يظهر في الصورة.,[],'TRUE',,Food,Mauritania,17337,true_false,13636,TRUE,1.0,1.81,true_false_exact
11,ما هي الميزة المعمارية التي يظهر في الصورة والتي تشكل ممرات ضيقة تؤدي إلى أجزاء أخرى من المبنى؟,['A. الأبوابB. الأعمدةC. الأسوارD. النوافذ'],الأعمدة,B,LandMarks,Egypt,23018,multiple_choice,2823,TRUE,0.0,1.34,mc_no_match
12,ما هو الاسم الشائع الذي يطلق على المدافن التي تظهر في الصورة؟,['A. جبانة الباشورةB. مقبرة بيروت القديمةC. مقبرة العثمانيينD. تربة عمر'],جبانة الباشورة,A,Geography,Lebanon,42352.png,multiple_choice,12590,D,0.0,1.6,mc_letter
13,ما هو اللون الذي يظهر في الصورة للحجارة المستخدمة في بناء القبور في جبل حفيت؟,['A. لون أحمر غامقB. لون أزرق فاتحC. لون أصفر داكنD. لون بني فاتح'],لون بني فاتح,D,Geography,UAE,9367.png,multiple_choice,15661,C,0.0,1.59,mc_letter
14,ما هي المنطقة التاريخية التي تقام فيها هذه المسيرة؟,['A. حي الرفاعB. فريج المخارقةC. فريج الحمامD. سوق المنامة'],فريج الحمام,C,Geography,Bahrain,13884.png,multiple_choice,14784,C,1.0,1.85,mc_letter
15,هل يعد فندق قصر البستان من بين أكثر الفنادق شهرة في منطقة الخليج العربي؟,[],'TRUE',,Architecture,Oman,105364,true_false,4040,TRUE,1.0,1.85,true_false_exact
16,ما هي الشكل الهندسي للقبور التي تظهر في الصورة؟,['A. القبور مربعة الشكلB. القبور مبنية بشكل دائري أو بيضاويC. القبور على شكل مكعبD. القبور على شكل نجمة'],القبور مبنية بشكل دائري أو بيضاوي,B,Geography,UAE,9365.png,multiple_choice,10669,C,0.0,1.45,mc_letter
