question,choices,answer,answer_letter,category,country,image_id,question_type,annotation_id,model_answer,Evaluation,run_time
ما هو الموقع الذي يحيط بالسراي الحمراء ويوفر مساحة للتنزه والأنشطة العامة؟,['A. ساحة واسعةB. ممشى ضيقC. موقف سياراتD. حديقة صغيرة'],ساحة واسعة,A,LandMarks,Libya,131625,multiple_choice,18106,A. ساحة واسعة,0.769,2.37
الظاهر في الصورة هو باب ضخم مصنوع من الخشب المزخرف بالذهب، وهذا الباب هو جزء من توسعة المسجد النبوي في عهد الملك فهد.,[],'TRUE',nan,Architecture,Saudi_Arabia,32236,true_false,8530,صواب,0.0,1.1
ما الذي يظهر في الصورة يعكس أهمية الحرب في الثقافة الآشورية؟,['A. النقوش التي تصور الحياة اليومية في الحدائقB. النقوش التي تصور الاحتفالات الثقافيةC. النقوش التي تصور الطقوس الدينيةD. النقوش التي تصور المعارك والانتصارات العسكرية'],النقوش التي تصور المعارك والانتصارات العسكرية,D,Architecture,Iraq,78328,multiple_choice,17098,D. النقوش التي تصور المعارك والانتصارات العسكرية,0.938,1.22
الكَدْرُون هو لباس تقليدي يرتبط بالأنشطة الزراعية والبحرية في تونس.,[],'TRUE',nan,Clothes,Tunisia,38927.png,true_false,16945,FALSE,0.0,2.46
ما هي الميزة الطبيعية التي كما يظهر في الصورة وتعطي جواً من الطبيعة والهدوء؟,['A. نخيل جافةB. صخور جبليةC. بحيرة صغيرةD. أشجار خضراء على جانبي الشارع'],أشجار خضراء على جانبي الشارع,D,Geography,UAE,50331.png,multiple_choice,10741,FALSE,0.0,1.38
كيف يتم عرض سمك البلطي في الصورة؟,['A. معبأ في صناديقB. مغطى بالثلجC. معلق على عصا خشبيةD. مطبوخ في مقلاة'],معلق على عصا خشبية,C,Food,Egypt,68227,multiple_choice,283,C. معلق على عصا خشبية,0.857,1.8
ما هي المادة التي تغطي السقف كما يظهر في الصورة؟,['A. الرصاصB. الزجاجC. الحديدD. الخشب'],الرصاص,A,Architecture,Palestine,2825,multiple_choice,9008,C. الحديد,0.0,1.55
ما هو نوع القماش الذي يستخدم في صناعة الفستان التقليدي الذي يظهر في الصورة؟,['A. الكتان الطبيعيB. القطن الخفيفC. الحرير الناعمD. المخمل السميك'],المخمل السميك,D,Clothes,Algeria,66449.png,multiple_choice,26377,المخمل السميك,1.0,1.14
ما هو المعلم البارز الذي يظهر في الصورة ويتميز بتصميمه الفريد ونقوشه الإسلامية الجميلة؟,['A. البرج المراقبةB. المسجد الكبيرC. المبنى الرئيسي للمطارD. المئذنة'],المئذنة,D,Architecture,Saudi_Arabia,32257,multiple_choice,8543,D. المئذنة,0.7,1.6
ما هو المكان الذي يظهر في الصورة ويُعتقد أن القديس يوحنا عاش فيه ويتواجد الآن كمصلى؟,['A. الحديقةB. المغارةC. الكنيسةD. البئر'],المغارة,B,Architecture,Palestine,3114,multiple_choice,1163,B. المغارة,0.7,1.46
