id,dialect,description,description_dialect,question1,question2,question3,question4,question5,answer1,answer2,answer3,answer4,answer5,no_answer1,no_answer2,no_answer3,no_answer4,no_answer5
255ca2820747fa88e08be77aa656b22b,Jordanian,تظهر الصورة خضرة الربيع من اشجار و اعشاب في احد المناطق الاثرية، ولا اعلم بشكل مؤكد ما هي هذه المنطقة. العديد من الاشجار من شتى الانواع حتى شجر النخيل. وهناك صبيان يقودان دراجتهما في ممر امام اكوام الحجارة الاثرية. ,الصورة بتبين الخضار و الربيع في منطقة اثرية، مو متاكد بالضبط وين هي. شجر من كذا نوع و حتى في نخل. و تنين ولاد عم بسوقو بسكليتاتهم في الممر الي قدام الحجار الاثرية. ,شو لون حجار المكان الاثري؟,شو انواع الشجر الي موجودة؟,شو الوان لبس الولاد الي فالصورة؟,وين هاي الاثار موجودة بالضبط؟,في اشي بميز هاي الآثار عن غيرها؟,لون الحجارة في الصورة سكني صاير. ,صراحة ما عرفت الا شجرة النخيل. , لابسين شورتات جينز كانو واحد لابس تيشيرت اصفر والتاني كحلي. ,صراحة ما عرفت اميزها من الصورة. ,لونهم غريب مو زي باقي الاثار الي بالاردن. ,False,False,True,False,False
9c3c2b9879e2f1ad72122f05650f87c3,Jordanian,هذه صورة قريبة من زهرة بنفسجية على نبتة، وهي عبارة عن أنابيب صغيرة متجمعة مع بعضها على الساق، والساق والبراعم مغطاة بشعر ناعم، والبراعم لها لون أحمر فاتح، والخلفية ضبابية مما يساعد في إبراز تفاصيل النبتة وألوانها.,هاي صورة قريبة من زهرة بنفسجية، وهي عبارة عن أنابيب صغيرة متجمعة فوق بعضها على الساق، والساق والبراعم مغطيات بشعر ناعم، والبراعم فيها لون احمر فاتح، اما الخلفية ضبابية مبينة تفاصيل النبتة والوانها. ,الصورة لمكان طبيعي او زراعي؟,في حد التقطها ولا مبينة ذكاء اصطناعي؟,مبين شو نوع الزهرة الموجودة؟,الانانيب الموجودة هل هي حتى تروي النبتة؟,في اي نبات تاني بالصورة؟,مش مبينة شو طبيعة المكان بالصورة لانه الزوم على الزهرة بس.,مبين انها صورة حقيقية مش من توليد الذكاء الاصطناعي.,يمكن زهرة الميرامية لانه هيك شكلها., لا يوجد انابيب ري في الصورة.,لا ما في اي نبتة بالصورة غير النبتة البنفسجية.,False,False,False,True,False
f8549c53db39af0708e5aa5836c7c188,Jordanian,هذه صورة في مسرح روماني أثري في الأردن، من المرجح أن يكون في عمّان أو جرش، حيث يجلس الناس على المدرجات الحجرية القديمة، ويبدو أنهم يستمتعون بأجواء تراثية ويتابعون فعالية أو عرضاً ثقافياً، كما يظهر في الصورة أشخاص كبار وصغار، وعائلات جاؤوا معاً، ويتواجد بعض المصورين مع كاميرات، مما يدل على أن الحدث منظم ويتم توثيقه، ويرتدي بعض الأشخاص أزياء تقليدية كالدشداشة والغترة، ويوجد أشخاص من مختلف الأعمار. الأجواء العامة مريحة، والجميع متحمسون وينتظرون العرض.,"مبين انه هاي الصورة في مسرح روماني أثري بالأردن وعلى الأغلب بعمّان أو جرش، والناس قاعدين على المدرجات الحجرية القديمة، بيستمتعوا بجو تراثي وبيتابعوا فعالية أو عرض ثقافي، وفي ناس كبار وصغار بالعمر، وكمان في عائلات جايين مع بعض، وفي بينهم كاميرات للتصوير، شكله الحدث منظم وفيه توثيق، وفي بعض الناس لابسين لبس تقليدي زي الدشداشة والغترة وفي ناس من كل الأعمار. الجو العام مريح والكل متحمس ومستني العرض.

",شو نوع الفعالية او العرض اللي الناس متجمعين عشان يحضروها؟,في اي ديكور او تجهيزات بتدل على نوع المناسبة او الفعالية؟,في اي يافطات مكتوب عليها اسم الفعالية او الجهة اللي منظمة هاي الفعالية؟,اللبس التقليدي الموجود، هل هو اللبس الاردني التقليدي ولا في لبس تقليدي لدول تانية؟,في اي نشاطات غير العرض زي اكشاك بيع او مناطق العاب للاطفال؟,"غير واضح, ممكن مسرحية او تقديم برنامج او حفل غنائي.","في كمرات مسلطة على المسرح و اضوية على الحاضرين وجسر خشبي تحت الرجل,بس نوع المناسبة غير واضح.", ما في يافطات مكتوب عليها,هو لبس التقليدي الخليجي بس معدل مع الشماغ الأردني., ما في نشاطات او كشك,False,False,True,False,True
26de9a069f9091731a04ed50f11ba921,Jordanian,الصورة تعرض طبقاً شهياً من المقلوبة الأردنية التقليدية، ويتكون الطبق من الأرز الأبيض المرتب بشكل دائري ومتناسق، ويتوسطه قطع كبيرة من لحم الضأن المطبوخ بشكل شهي، وبين طبقات الأرز واللحم تظهر حبات من الحمص التي تضيف نكهة لذيذة للطبق، ويعلو الأرز قطع من اللوز المحمص الموزعة بشكل عشوائي لإضفاء لمسة إضافية من الطعم والشكل المميزين، وتم تزيين الطبق بالبقدونس الأخضر المفروم ليضفي لوناً طازجاً، بالإضافة إلى حبات البازلاء الخضراء التي تمنح تبايناً جميلاً في الألوان، وإلى جانب الطبق الرئيسي يظهر صحن جانبي صغير يحتوي على اللبن الزبادي المتبل بزيت الزيتون وبعض الكمون، مع رشة خفيفة من السماق، الطبق متكامل يجمع بين النكهات التقليدية والمظهر الجذاب، ويعكس الطابع الأصيل للمطبخ الأردني.,مبين بالصورة صحن مقلوبة مرتبة بيفتح النفس. الأكلة معمولة من الرز الأبيض المصفوف بشكل دائري، وفوقه قطع كبيرة من اللحمة الضاني المطبوخة، وبين الرز فيه حبات حمص بيعطي طعم زاكي مع المقلوبة، وفوق كل هاي المكونات فيه شوية لوز مقلي مرشوش بشكل عشوائي ليكمل الشكل والطعم، وحوالين المقلوبة مرشوش بقدونس أخضر مفروم، وبتبين كمان حبات من البازيلا اللي بيعطوا لون أخضر فاتح لتزيين الصحن، وجنب الصحن الرئيسي، فيه صحن زغير جانبي فيه لبن زبادي متبل بزيت الزيتون وكمون ومرشوش عليه شوية سماق، وهاي الأكلة زاكية ومرتبة، وشكلها بيوحي على الطعم الأصيل للأكل الأردني.,المقلوبة معمولة بزهرة ولا باذنجان ؟,المقلوبة فقط هي الطبق الرئيسي بالصورة؟,في ناس بتاكل مبينين بالصورة ولا بس اكل؟,الصورة مبينة بمطعم ولا مطبخ ولا بيت؟,بشو مسكوب الاكل اللي بالصورة ؟, الصحن الموجود في الصورة مش مقلوبة.,صحن الرز هاد هو الطبق الرئيسي.,لا، بس مبينة صورة الاكلات.,مش واضح كتير ازا المكان مطعم ولا بيت.,الاكل مسكوب بصحون لونها ابيض.,True,False,False,False,False
34dc4fb0dc89dc68b7b73021e78ec24a,Jordanian,تُظهر هذه الصورة مشهدًا من شوارع مدينة قديمة، حيث يظهر رجل يرتدي ملابس تقليدية تغطي رأسه بأغطية كبيرة. خلف هذا الرجل هناك كومة كبيرة من الحطب المكدس وجرار نقل بخاري متوقف. كما تظهر في المشهد عدة قطط صغيرة تتجول. الخلفية تتكون من مباني وجدران قديمة تعكس الطراز المعماري التقليدي للمنطقة.,هاي الصورو بتبين لرجال واقف بنص الشارع لابس ملابس تقليدية عليه طاقية كبيرة على راسه. ورا الرجل فيه كومة كبيرة من الحطب وعربية بخارية واقفة. وفي قطط صغيرة بتمشي هناك. خلفية الصورة عبارة عن  مباني وجدران قديمة. ,كيف يعني ملابس تقليدية؟ و تابعة لأي دولة؟,الطاقية شتوية؟ صيفية؟ كيف شكلها ؟,الرجل هو المسؤول عن وضع الحطب بالقطار البخاري يعني؟,كم قطة في؟ و شو ألوانهم؟,المباني و الجدران اللي بالصورة بالخلفية، بنقدر نعرف وين مأخوذة؟ بأي مدينة؟,شكله اللبس التقليدي لدولة المغرب، وغالبا بلبسوهم بياعين المي.,الطاقية لا صيفية ولا شتوية، هي طاقية ملونة ومدببة من فوق زي المثلث.,لا، الزلمة ماشي بالشارع مش مسؤول عن الحط مبين انه بياع مي., السؤال مش واضح مش حاطين اسم الاشي اللي بسالو عنو.,الصورة بمدينة مغربية يمكن مراكش.,False,False,False,True,False
e8372082e277f3d78eae93995cc4e78f,Egyptian,"هذه صورة لقناة السويس، مياهها هادئة والشاطيء مرتفع عن سطح الماء، ويكون ضفة تعمل كحاجزٍ رملي، مرسوم عليها إطاران، أحدهما مكتوب بداخله ""أهلاً بكم في مصر"" بالإنجليزية، والآخر عبارة عن لوحة، وفي الخلفية هناك رمال وأشجار ونخيل.","صورة لقناة السويس، ميه هادية والشط اعلى من الميه وبيكون ضفة كأنها حاجز من الرملة، مرسوم عليها إطارين، واحد مكتوب جواه ""أهلاً بيكم في مصر"" بالإنجليزي، والتاني عبارة عن لوحة، وفي الخلفية رملة وشجر ونخل.",اللوحة اللي في الإطار التاني فيها إية بالضبط؟,كم عدد الشجر والنخل في الخلفية؟,ما هي الألوان المستخدمة في الإطارين؟,هل فيه أي قوارب أو مراكب في القناة؟,هل فيه ناس أو حركة حوالين القناة؟,فيها تكوينات كتير مصرية زي ابو الهول والجنود أثناء العبور وعلم مصر وحمامة السلام, صعب جداً تحديد عدد النخل والجشر لأن الصورة مش واضحة,الاطار اللي فيه الرسالة من لون تركواز فاتح على خلفية أوف وايت، واللوحة المرسومة فيها الوان كتير أخضر وأحمر وأبيض وأزرق وبني ,لا مفيش اي قوارب في الصورة,لا مفيش اي ناس أو حركة حوالين القناة,False,True,False,False,False
b64ca5d44a990aa32e84b4133b18498b,Egyptian,صورة مركزة لمأذنة مسجد فقط تشق السماء، لونها بيج فاتح، وعليها زخارف إسلامية ومكبر صوت . السماء في منتصف النهار وشبه صافية وبها بعض السحاب الخفيفة جدا. مأذنة المسجد رغم انها لا يظهر عليها علامات التاكل او التعرية واضح عليها القدم وتعود تقريبا للعصور الوسطي في مصر.,الصورة مركزة لمأذنة جامع فقط طالعة في السما لونها بيج فاتح وعليها زخارف إسلامية وميكرفون والسما كانت بالنهار وشبه صافيه وفيها تشبيحات سحاب خفيفة خالص. عامة مأذنة الجامع رغم انها بدون اي تأكل واضح عليها القدم من ايام العصور الوسطى في مصر مثلا.,هل المأذنة جنبها قبة جامع؟,المأذنة دي مكونة من كم دور؟,طبقات المأذنة مربعة الشكل ولا مدورة؟,فيه حوالين المأذنة من بره سلم للطلوع للمأذنة؟,المأذنة دي معمول فيها شبابيك؟,لا مش ظاهر في الصورة دي , لأن الصورة متاخدة من نص المأذنة فصعب جداً التحديد,مربعة، بس آخر طبقة عبارة عن اسطوانة,لا مفيش سلم حوالين المأذنة,فيها شبابيك في الجزء المربع، لكن الجزء الاسطواني لأ,False,True,False,False,False
e1a1d092b15645bf2329e8d803edcb70,Egyptian,يظهر في الصورة بابان أثريان من الخشب في بناية قديمة تتكون من أحجار كبيرة، ويتخذ كل باب منهما شكل قبة من الأعلى، وتتشكل القبة من قضبان حديدية عديدة وبعض الزخارف البسيطة، وأمامهما تعبر دراجة نارية على متنها رجلان ولكن دون معالم واضحة بسبب اهتزاز الصورة.,الصورة لبابين خشب من مبنى قديم مبني بحجارة كبيرة، والبابين شكلهم أثري وكل باب فيهم واخد شكل قبة من فوق، والقبة دي فيها قضبان حديد كتير وزخارف بسيطة، وقدامهم معدي موتسيكل راكب عليه رجلين بس بيتحركو بسرعة، فالصورة مهزوزة وشكلهم مش واضح.,باين في الصورة الإضاءة بالنهار ولا بالليل؟,الراجلين كان لبسهم شتوي ولا صيفي؟,ايه لون البابين الخشب؟ وشبه بعض ولا لا؟,الشارع فيه أي أشجار عواميد نور؟,الأثر والزخارف شكلها تبع أنهي عصر؟,إضاءة الصورة بتقول إن احنا بالنهار.,شكلهم مهزوز بس الرجل اللي قدام باين إنه لابس نص كم صيفي.,البابين لونهم بني، وشكلهم زي بعض، الفرق إن الباب اللي على اليمين متعلق فيه قفل بين الدرفتين في النص., مش باين من الصورة تفاصيل تانية غير البيت والموتوسيكل.,االقضبان الحديد واخدة شكل زخرف مش مميز، والبيت نفسه مفيش عليه زخارف، وشكله يشبه لبيوت العصور الوسطى في مصر.,False,False,False,True,False
94526b1a13eee1d5d7f92cc096cad960,Egyptian,مسجد كبير بتصميم أثري وطراز إسلامي، يقع في منطقة قديمة تعج بالحركة. يتميز المسجد بقبة كبيرة وعدد من القباب الصغيرة، بالإضافة إلى مآذن تتفاوت في أحجامها. يتكون المسجد من ثلاثة مبانٍ تفصل بينها أشجار في المنتصف، وتوجد أسطح عديدة أمام المسجد. تتوزع في الخلفية العديد من المباني والعمارات، ويكون المشهد في وقت المغرب مع وجود بعض الضباب في السماء.,جامع كبير على شكل أثري وطراز إسلامي وفي منطقة قديمة زحمة. الجامع كبير وفيه قبة كبيرة وقبب صغيرة، ومآذن كتير أحجام مختلفة. الجامع متقسم تلات مباني وبينهم أشجار في النص، وفي أسطح كتير قدام المسجد. الخلفية فيها مباني كتير وعمارات. وقت المغرب والسما ضباب شوية. ,هل المباني التابعة للجامع فيها دار مناسبات؟,هل المآذن دي عليها ميكروفونات؟,هل الجامع ده له رواق؟,شكل المباني في الخلفية زي اللي في منطقة مصر القديمة؟,هل قباب الجامع لونها فضي زي اللي في جامع محمد علي؟,مش باين في الصورة، وغالباً الجوامع الأثرية مبيبقاش فيها دور مناسبات., لأ مش باين عليها ميكروفونات., الصورة متصورة من فوق؛ فمش باين فيها التفاصيل الداخلية للجامع زي الرواق وغيره.,في منها اللي يشبه مباني القاهرة القديمة ومنها الأبراج العالية ومنها العمارات العشوائية.,لأ لونها ما بين البني والأصفر.,False,False,True,False,False
b32fe6e4cf8e14aba3bac2ae576fdcd3,Egyptian,الصورة لأربعة تماثيل فرعونية ضخمة بلون رملي لأشخاص واقفين وجميعها دون رأس، وتلتصق هذه التماثيل بسور أضخم يحتوي على ثلاثة فراغات مستطيلة وعليه نقوش بالهيروغليفية من الأعلى وعند الجوانب،  وأمام التماثيل ثمة رأس تمثال آخر كبير بلون رمادي.,الصورة لأربع تماثيل فرعونية  ضخمة لونها بيج لأشخاص واقفين وكلها من غير رأس، ولازقين في سور أضخم فيه تلت فراغات مستطيلة وعليه نقوش بالهيروغليفي من فوق ومن الجنب، وقدام التماثيل في رأس تمثال كبيرة بلون رمادي.,التماثيل شكلها لرجالة ولا ستات؟,الفراغات المستطيلة دي موجودة كأبواب ولا شبابيك؟,راس التمثال الكبيرة الرمادي متثبتة على قاعدة؟,الصورة دي بالنهار ولا بالليل؟,فيه سياح موجودين في المكان ده؟, غالباً رجالة، لإن الوضعية بتاعة الإيدين  المضمومة للصدر وفيها قصيب الحكم بتقول إنها تماثيل لملوك، وأقرب في شكلها لتماثيل الرعامسة، بس التمثال التاني على يمين راسه مش مقطوعة وشكلها على شكل راس أسد، ودا بيقول إنها ممكن تكون تماثيل لمعبودات فرعونية مش رجالة ولا ستات.,دي فراغات بين العمدان بتاعة واجهة المعبد.,متثبتة على قاعدة حجرية أصغر منها ومتثبتة في الأرض.,الصورة متصورة بالنهار والشمس، وقت الصبح في الغالب.,لأ مش باين أي شياح في الصورة.,True,False,False,False,False
