task_id,question_id,image_path,query_text,ground_truth_code,model_response,code_generation_time
1,q4,..\Datasets\TurtleBench\Tasks\1\image\1.png,"recreates the given shape + its horizontal and vertical diameters.

Constraint - Use these variables strictly:
radius=100","t.circle(radius)
t.circle(radius, 90)
t.left(90)
t.forward(2 * radius)
t.left(90)
t.circle(radius, 90)
t.left(90)
t.forward(2 * radius)
","radius = 100

# Draw the circle
t.penup()
t.goto(0, -radius)
t.pendown()
t.circle(radius)

# Draw the horizontal diameter
t.penup()
t.goto(-radius, 0)
t.pendown()
t.goto(radius, 0)

# Draw the vertical diameter
t.penup()
t.goto(0, radius)
t.pendown()
t.goto(0, -radius)",1.89
1,q1,..\Datasets\TurtleBench\Tasks\1\image\1.png,"creates exactly the same shape.

Constraint - Use these variables strictly:
radius=100","t.circle(radius)
","radius = 100
t.penup()
t.goto(0, -radius)
t.pendown()
t.circle(radius)",1.06
1,q3,..\Datasets\TurtleBench\Tasks\1\image\1.png,"divides the shape into four equal pieces and draws the upper left and bottom right quarters.

Constraint - Use these variables strictly:
radius=100","for i in range(4):
        if i % 2 == 0:
          t.penup()
        else:
          t.pendown()
        t.circle(radius, 90)
","radius = 100

# Draw upper left quarter
t.penup()
t.goto(-radius, radius)
t.pendown()
t.setheading(90)
t.circle(radius, 90)

# Draw lines to complete the quarter
t.goto(-radius, radius)
t.goto(-radius, -radius)

# Draw bottom right quarter
t.penup()
t.goto(0, 0)
t.pendown()
t.setheading(0)
t.circle(radius, 90)

# Draw lines to complete the quarter
t.goto(radius, 0)
t.goto(radius, -radius)",2.26
1,q2,..\Datasets\TurtleBench\Tasks\1\image\1.png,"creates the upper semicircle in the given shape.

Constraint - Use these variables strictly:
radius=100","t.setheading(90)
t.circle(radius, 180)
","radius = 100
t.penup()
t.goto(0, -radius)
t.pendown()
t.setheading(90)
t.circle(radius, 180)",1.18
2,q4,..\Datasets\TurtleBench\Tasks\2\image\2.png,"in the given shape connects the midpoints of each side.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(60)
for i in range(3):
  t.forward(triangle_side)
  t.right(120)
t.forward(triangle_side / 2)
t.right(60)
for i in range(3):
  t.forward(triangle_side / 2)
  t.right(120)
","triangle_side = 200

# Calculate the height of the triangle
height = (triangle_side * (3**0.5)) / 2

# Draw the triangle
t.penup()
t.goto(-triangle_side / 2, -height / 3)
t.pendown()
t.goto(triangle_side / 2, -height / 3)
t.goto(0, height * 2 / 3)
t.goto(-triangle_side / 2, -height / 3)

# Calculate midpoints
midpoint1 = (-triangle_side / 2 + triangle_side / 2) / 2, (-height / 3 + -height / 3) / 2
midpoint2 = (triangle_side / 2 + 0) / 2, (-height / 3 + height * 2 / 3) / 2
midpoint3 = (0 + -triangle_side / 2) / 2, (height * 2 / 3 + -height / 3) / 2

# Draw lines connecting midpoints
t.penup()
t.goto(midpoint1)
t.pendown()
t.goto(midpoint2)
t.goto(midpoint3)
t.goto(midpoint1)",2.72
2,q1,..\Datasets\TurtleBench\Tasks\2\image\2.png,"creates exactly the same shape.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(60)
for i in range(3):
  t.forward(triangle_side)
  t.right(120)
","triangle_side = 200

for _ in range(3):
    t.forward(triangle_side)
    t.left(120)",1.5
2,q3,..\Datasets\TurtleBench\Tasks\2\image\2.png,"recreates the same shape upside down.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(0)
for i in range(3):
  t.forward(triangle_side)
  t.right(120)
","triangle_side = 200

# Draw the triangle
for _ in range(3):
    t.forward(triangle_side)
    t.left(120)

# Move to the starting position for the upside-down triangle
t.penup()
t.right(180)
t.forward(triangle_side)
t.left(90)
t.forward(triangle_side / 2)
t.pendown()

# Draw the upside-down triangle
for _ in range(3):
    t.forward(triangle_side)
    t.left(120)",1.73
2,q2,..\Datasets\TurtleBench\Tasks\2\image\2.png,"removes the bottom side of the given shape.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(60)
for i in range(2):
  t.forward(triangle_side)
  t.right(120)
","triangle_side = 200

# Draw the triangle
for _ in range(3):
    t.forward(triangle_side)
    t.left(120)

# Move to the starting point for the cut
t.penup()
t.goto(-triangle_side / 2, -triangle_side * (3**0.5) / 6)
t.pendown()

# Draw the cut line
t.forward(triangle_side)",1.59
3,q10,..\Datasets\TurtleBench\Tasks\3\image\3.png,"in the given shape connects the midpoints of each side of the square.

Constraint - Use these variables strictly:
square_side=200","for i in range(4):
  t.forward(square_side)
  t.right(90)
t.forward(square_side / 2)
t.right(45)
for i in range(4):
  t.forward(square_side * sqrt(2) / 2)
  t.right(90)
","square_side = 200

# Draw the square
for _ in range(4):
    t.forward(square_side)
    t.right(90)

# Move to the midpoints
t.penup()
t.forward(square_side / 2)
t.right(90)
t.forward(square_side / 2)
t.pendown()

# Draw the lines connecting the midpoints
for _ in range(4):
    t.forward(square_side)
    t.right(90)
    t.forward(square_side / 2)
    t.right(90)
    t.forward(square_side)
    t.right(90)
    t.forward(square_side / 2)
    t.right(90)",1.85
3,q9,..\Datasets\TurtleBench\Tasks\3\image\3.png,"in the given shape, adds four smaller squares to divide the larger square into four equal pieces.

Constraint - Use these variables strictly:
square_side=200","for j in range(4):
  t.right(90)
  for i in range(4):
    t.forward(square_side / 2)
    t.right(90)
","square_side = 200

# Draw the larger square
for _ in range(4):
    t.forward(square_side)
    t.right(90)

# Move to the first smaller square position
t.penup()
t.goto(square_side / 2, square_side / 2)
t.pendown()

# Draw the four smaller squares
for _ in range(4):
    for _ in range(4):
        t.forward(square_side / 2)
        t.right(90)
    t.penup()
    t.goto(t.xcor() - square_side / 2, t.ycor() - square_side / 2)
    t.pendown()",1.91
