task_id,prompt,model_answer,ground_truth,evaluation,run_time
10095.png,Is the value of Favorable 38 in 2015?,Yes,Yes,True,11.026
10095.png,How many values are below 40 in Unfavorable graph?,4,6,False,32.914
10149.png,In which year the value was 51?,2013,2014,False,9.8
10149.png,What is the sum favourable  value in the year 2014 and 2015?,92,95,False,16.667
10154.png,In which year the Mexican governments campaign against drugs traffickers is making 47 percent progress?,2012,2012,True,36.226
10154.png,"What is the sum of making progress ,losing ground and same in the year 2011?",99%,99,True,35.713
10183.png,How many intercepting point(s) is/are there?,1,1,True,33.895
10183.png,Which year has the most divergent opinions about Brazil's economy?,2015,2015,True,7.657
10184.png,Which line contains smaller values across all years?,Unfavorable,Unfavorable,True,9.587
10184.png,Deduct the most unfavorable view from the most favorable view?,49%,49,True,7.485
10197.png,What's the rightmost value dark brown graph?,47,47,True,6.251
10197.png,How many values of dark brown graph exceed 40?,7,5,False,121.572
10238.png,Is the largest value of green bar 30?,No,No,True,6.7
10238.png,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,Yes,True,159.856
10239.png,What is the color of graph whose lowest value is 35?,green,Green,True,6.675
10239.png,What's the median value of green graph?,75%,75,True,11.145
10240.png,What's the rightmost value of orange graph?,51,51,True,2.421
10240.png,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,Yes,True,9.302
10243.png,What is the first data in orange line?,41%,41,True,2.672
10243.png,Which year the green line cut the orange line from top to down?,2015,2014,False,105.293
10305.png,What is the data in Jul 2015 ( all two data)?,"63%, 26%","[63, 26]",True,3.348
10305.png,What is the average of Approve data?,59.25%,58,False,56.41
10395.png,What's the color of the graph with the 15 as the lowest value?,blue,Blue,True,4.171
10395.png,What's the the average of all the values below 30?,21,19,False,110.094
10430.png,What's the rightmost value of orange graph?,73,73,True,3.238
10430.png,What's the median value of orange graph?,73%,73,True,4.31
10432.png,What's the percentage of respondents who was upset on changing reactions to a gay child in 2015?,39%,0.39,True,4.636
10432.png,In which year the difference between Upset and Not upset graph is maximum?,1985,1985,True,13.646
10438.png,What's the U.S. Hispanic population in 2000 (in millions)?,35.7,35.7,True,2.69
10438.png,In how many years the U.S. Hispanic population was below 30 millions?,3,3,True,11.305
10451.png,In which year the value of orange graph is 36?,2013,2013,True,3.741
10451.png,What's the median value of green graph from 2011 to 2015?,51,61,False,8.681
10452.png,What's the rightmost value of dark green graph?,11,15,False,2.633
10452.png,How many values in light green graph are equal?,0,2,False,9.906
10453.png,What's the percentage of Indians who have no confidence in Obama to do the right thing regarding world affairs in 2014?,15%,15,True,3.313
10453.png,What's the average of all the values in 2015?,33,33,True,6.95
10468.png,What's the leftmost value of green graph?,44,44,True,4.772
10468.png,Is the sum of two lowest value of green graph greater than higest value of orange graph?,Yes,Yes,True,31.483
10498.png,What's the lowest value of graph in 2015?,8%,8,True,7.68
10498.png,What's the product of all the values in 2015?,19800,19800,True,14.441
10504.png,What's the value of Bad graph in 2007?,58,56,False,4.997
10504.png,Is the median of first three points of orange graph smaller than largest value of green graph?,No,No,True,16.632
10507.png,What does the green line of data represent?,Obama,Obama,True,3.613
10507.png,What percentage does the data point for Obama have in 2009?,37%,0.37,True,2.82
10523.png,"Based on the graph, do people have more confidence or no confidence?",more confidence,Confidence,True,74.432
10523.png,What is the difference in data points in 2015?,83,79,False,5.223
127.png,What does the blue line represent?,Dem/Lean Dem,Dem/Lean Dem,True,4.724
127.png,When do blue lines reach their peak?,2018,2018,True,6.436
1696.png,What's the lowest value of red graph?,70,70,True,6.353
1696.png,What's the ratio of Rep/Lean Rep in 2019 and Dem/Lean Dem in 2018?,70:20,3.5,False,102.463
1880.png,What's the percentage of Republican/Lean Rep in 2018 who say American allies in Europe should increase their spending on national defense?,59%,59,True,5.741
1880.png,What's the median value of red graph?,59,59,True,6.682
1971.png,What is the percentage of U.S.-born eligible voters in 2016?,62%,62,True,4.663
1971.png,What is the median value of U.S.-born graph?,63%,63,True,9.708
2429.png,What percentage of Americans/Germans say U.S should cooperate more with Germany in 2019?,69%,69,True,19.295
2429.png,In which year the difference between green and blue graph lowest?,2017,2017,True,20.552
2644.png,Which line has bigger changes in values?,West Germany,East Germany,False,15.404
2644.png,Add the medians of the opinions from the two countries?,156,156,True,17.257
34.png,Are the lines diverging?,Yes,Yes,True,70.711
34.png,What is the second least difference in the two voters' opinions?,29,29,True,40.812
3886.png,What's the value of blue graph in 2014?,19%,19,True,3.694
