id,question,arabic_question,translation_time_sec
1,"Which number should be written in place of the question mark?
<image1>",ما الرقم الذي يجب وضعه مكان علامة الاستفهام؟,2.99
2,"Which bike is most expensive?
<image1>",أي دراجة هي الأغلى؟,2.82
3,"Which kite has the longest string?
<image1>",أي طائرة ورقية لديها الخيط الأطول؟,3.02
4,"How many different digits can you find in this picture?
<image1>",كم عدد الأرقام المختلفة التي يمكنك العثور عليها في هذه الصورة؟,3.11
5,"Which number do you have to write in the last daisy?
<image1>",ما هو الرقم الذي يجب كتابته في زهرة الأقحوان الأخيرة؟,3.24
1,"Which number should be written in place of the question mark?
<image1>",ما الرقم الذي يجب وضعه مكان علامة الاستفهام؟,2.99
2,"Which bike is most expensive?
<image1>",أي دراجة هي الأغلى؟,2.76
3,"Which kite has the longest string?
<image1>",أي طائرة ورقية لديها الخيط الأطول؟,3.04
4,"How many different digits can you find in this picture?
<image1>",كم عدد الأرقام المختلفة التي يمكنك العثور عليها في هذه الصورة؟,3.06
5,"Which number do you have to write in the last daisy?
<image1>",ما هو الرقم الذي يجب كتابته في زهرة الأقحوان الأخيرة؟,3.11
6,"Misty the cat has five kittens: two of them are striped, one spotty, the rest of them are absolutely white. In which picture can we see the kittens of Misty, knowing that the ears of one of them are of different colour?
<image1>","للمعرفة في أي صورة يمكننا رؤية قطط ميستي، علماً بأن أذني أحدها بلون مختلف؟
<image1>",3.76
7,"How many bricks are missing in the wall?
<image1>",كم عدد الطوب المفقود في الجدار؟,2.88
8,"The sums of the all the three numbers on each side of the triangle are equal. Two numbers happened to be stained with ink. How much is the sum of these two numbers?
<image1>",مجموع الأرقام الثلاثة على كل ضلع من أضلاع المثلث متساوٍ. تم تلطيخ رقمين بالحبر. ما هو مجموع هذين الرقمين؟,18.99
9,"A squirrel is following the paths of labyrinth and collecting food for winter. Which stuff it will not be able to take?
<image1>",يتبع السنجاب مسارات المتاهة ويجمع الطعام للشتاء. ما الشيء الذي لن يتمكن من أخذه؟,17.7
10,"Four people can be seated at a square table. How many people at most could be seated if we pushed four tables of this kind together in one row?
<image1>",يمكن الجلوس لأربعة أشخاص على طاولة مربعة. ما هو الحد الأقصى لعدد الأشخاص الذين يمكن جلوسهم إذا رصصنا أربع طاولات من هذا النوع في صف واحد؟,19.79
11,"Mike has built a construction, shown in the upper picture, from equal cubes. Lily has taken several cubes out of it, thus Mike's construction became such as we see in the lower picture. How many cubes has Lily taken?
<image1>","بنى مايك بناءً إنشائياً، موضحاً في الصورة العلوية، من مكعبات متساوية. أخذت ليلي عدة مكعبات منه، فأصبح بناء مايك كما نراه في الصورة السفلية. كم عدد المكعبات التي أخذتها ليلي؟",4.63
12,"Now it is 2008. What is the total sum of these digits?
<image1>",الآن هو عام 2008. ما هو المجموع الكلي لهذه الأرقام؟,16.13
13,"Which of these figures differs from the rest four?
<image1>",أي من هذه الأشكال يختلف عن الأربعة الأخرى؟,2.83
14,"Mary has written all the numbers from 1 to 30 . How many times has she written digit 2?
<image1>",كتبت ماري جميع الأرقام من 1 إلى 30. كم مرة كتبت الرقم 2؟,3.22
15,"Emily celebrated her birthday on Thursday, and her sister Liepa 8 days earlier. Which weekday was that?
<image1>","احتفلت إميلي بعيد ميلادها يوم الخميس، وأختها ليابا قبل 8 أيام. ما هو اليوم الذي كان عليه ذلك؟",3.6
16,"How many points are there in the three unseen sides of dice?
<image1>",كم عدد النقاط الموجودة على الجوانب الثلاثة غير المرئية للزهر؟,3.19
17,"A jump of a little kangaroo is three times shorter than its mother's. How many jumps should the little kangaroo make to cover the distance equal to 7 jumps of its mother?
<image1>",قفزة الكنغر الصغير أقصر بثلاث مرات من قفزة أمه. فكم قفزة يجب أن يقوم بها الكنغر الصغير ليغطي مسافة تعادل 7 قفزات من أمه؟,22.68
18,"A fifteen-meter log has to be sawn into three-meter pieces. How many cuts are needed for that?
<image1>",يجب تقطيع جذع خشب طوله 15 مترًا إلى قطع يبلغ طول كل منها 3 أمتار. فكم عدد القطوع اللازمة لذلك؟,18.52
19,"Eve has taken 2 bananas to school. At first she changed each of them into 4 apples, later on she exchanged each apple into 3 mandarins. How many mandarins has Eve got? <image1>","أخذت إيف 2 موزة إلى المدرسة. في البداية، حولت كل واحدة منهما إلى 4 تفاحات، وفي وقت لاحق، استبدلت كل تفاحة بـ 3 يوسفي. كم عدد اليوسفي الذي حصلت عليه إيف؟",4.68
20,"How many plums (see the picture) weigh as much as an apple?
<image1>",كم عدد الخوخ (انظر الصورة) الذي يزن مثل التفاحة؟,3.08
21,"Which of the figures shown bellow cannot be cut out of the figure illustrated nearby?
<image1>
<image2>",أي من الأشكال الموضحة أدناه لا يمكن قصه من الشكل الموضح بالجانب؟,3.15
22,"What time is it now, if after 6 hours and 30 minutes the clock will show 4:00?
<image1>","كم الساعة الآن، إذا كانت الساعة ستُظهر 4:00 بعد 6 ساعات و 30 دقيقة؟",19.96
23,"Tom bought a chocolate heart (see the picture) to Mary on her birthday.
<image1>
How many grams did the chocolate weigh, if each square weighs 10 grams?","اشترى توم قلب شوكولاتة (انظر الصورة) لماري في عيد ميلادها.
كم يزن الشوكولاتة بالجرام، إذا كان وزن كل مربع 10 جرامات؟",23.31
24,"A trip of the pupils to the zoo took 135 minutes.
<image1>
How many hours and minutes does it make?","استغرقت رحلة التلاميذ إلى حديقة الحيوان 135 دقيقة.
<image1>
كم ساعة ودقيقة يمثل ذلك؟",3.63
25,"A wooden block has 8 vertices. One vertex is cut off now (see the picture).
<image1>
How many vertices has the block now?",تحتوي كتلة خشبية على 8 رؤوس. قُطعت الآن رأس واحد (انظر الصورة). كم عدد الرؤوس التي تحتويها الكتلة الآن؟,21.31
26,"The ladybird would like to sit on his flower. The flower has five petals and the stem has three leaves. On which flower should the ladybird sit?
<image1>",تود الدعسوقة أن تجلس على زهرتها. الزهرة بها خمس بتلات والساق بها ثلاث أوراق. على أي زهرة يجب أن تجلس الدعسوقة؟,21.93
27,"Theresa moves a pencil along the line. She starts at the arrow shown. In which order will she go past the shapes?
<image1>",تحرك ثيريزا قلم رصاص على طول الخط. تبدأ من السهم الموضح. بأي ترتيب ستمر بالأشكال؟,3.56
28,"There are more grey squares than white. How many more?
<image1>",يوجد مربعات رمادية أكثر من البيضاء. فبكم؟,3.09
29,"A big square is made from 25 small squares put together. A few of the small squares have been lost. How many have been lost?
<image1>",تكوّن مربع كبير من 25 مربعًا صغيرًا مُتراصّة. فُقد عدد قليل من المربعات الصغيرة. فكم عدد المربعات المفقودة؟,20.18
30,"Put the animals in order of size. Begin with the smallest. Which animal will be in the middle?
<image1>",رتب الحيوانات حسب الحجم. ابدأ بالأصغر. أي حيوان سيكون في المنتصف؟,3.27
31,"How many ducks weigh the same as a crocodile?
<image1>
<image2>",كم عدد البط الذي يزن مثل التمساح؟,2.94
32,"The kangaroo is inside how many circles?
<image1>",في كم دائرة الكنغر؟,2.73
33,"When the ant <image1> walks from home <image2> along the arrows $\rightarrow 3, \uparrow 3, \rightarrow 3, \uparrow 1$, he gets to the ladybird <image3>.
Which animal does the ant <image1> get to when he walks from home <image2> along the following arrows: $\rightarrow 2, \downarrow 2, \rightarrow 3, \uparrow 3, \rightarrow 2, \uparrow 2$?
<image6>
<image7>","عندما يسير النمل <image1> من المنزل <image2> على طول الأسهم $\rightarrow 3, \uparrow 3, \rightarrow 3, \uparrow 1$، يصل إلى الدعسوقة <image3>.
أي حيوان يصل إليه النمل <image1> عندما يسير من المنزل <image2> على طول الأسهم التالية: $\rightarrow 2, \downarrow 2, \rightarrow 3, \uparrow 3, \rightarrow 2, \uparrow 2$؟
<image6>
<image7>",29.66
34,"Max has cut a rectangle into two pieces. One piece looks like:
<image1>
What does the other piece look like?
<image2>",قسّم ماكس مستطيلاً إلى قطعتين. تبدو إحدى القطع كالتالي: <image1>. كيف تبدو القطعة الأخرى؟ <image2>.,16.61
35,"Seven sticks lay on top of each other. Stick 2 lays right at the bottom. Stick 6 lays right on top. Which stick lays exactly in the middle?
<image1>",تستلقي سبع عصي فوق بعضها. العصا رقم 2 تقع في الأسفل تماماً. والعصا رقم 6 تقع في الأعلى تماماً. أي عصا تقع بالضبط في المنتصف؟,19.77
36,"The rabbit family Hoppel eat cabbages and carrots. Each day they eat either 10 carrots or 2 cabbages. In the whole of last week they ate 6 cabbages. How many carrots did the rabbit family eat last week?
<image1>","تأكل عائلة الأرانب هوبل الكرنب والجزر. كل يوم يأكلون إما 10 جزر أو 2 كرنب. في الأسبوع الماضي بأكمله، أكلوا 6 كرنب. كم عدد الجزر الذي أكلته عائلة الأرانب الأسبوع الماضي؟",4.92
37,"A square is cut into four pieces. Which shape can you not make with these four pieces?
<image1>
<image2>",يتم قص مربع إلى أربع قطع. أي شكل لا يمكنك صنعه بهذه القطع الأربع؟,3.25
38,"Each of the digits 2, 3, 4 and 5 will be placed in a square. Then there will be two numbers, which will be added together. What is the biggest number that they could make?
<image1>","سيتم وضع كل من الأرقام 2 و 3 و 4 و 5 في مربع. بعد ذلك، سيتم جمع عددين. ما هو أكبر عدد يمكن أن يشكلوه؟",3.87
39,"Ingrid has 4 red, 3 blue, 2 green and 1 yellow cube. She uses them to build the following object:
<image1>
Cubes with the same colour don't touch each other. Which colour is the cube with the question mark?","لدى إنغريد 4 مكعبات حمراء، و 3 زرقاء، و 2 خضراء، و 1 صفراء. تستخدمها لبناء الشكل التالي: <image1>. لا تلامس المكعبات ذات اللون نفسه بعضها البعض. ما هو لون المكعب الذي يحمل علامة الاستفهام؟",23.12
40,"Which shape cannot be seen in every picture?
<image1>",أي شكل لا يمكن رؤيته في كل صورة؟,2.86
41,"How many triangles can you find in the picture?
<image1>",كم عدد المثلثات التي يمكنك العثور عليها في الصورة؟,2.9
42,"Which part of the house is missing?
<image1>
<image2>",أي جزء من المنزل مفقود؟,2.71
43,"How many dots do all ladybirds have together?
<image1>",كم عدد النقاط التي يمتلكها جميع الدعسوقات معًا؟,3.02
