id,imgname,query,ground_truth,ground_truth_ar,type,model_answer,evaluation_passed,run_time
0,two_col_22779.png,كم عدد الكليات التي كانت في بنغالورو عام 2019؟,880,٨٨٠,augmented,850 كلية,False,2.84
1,two_col_22779.png,ما هي عاصمة راجستان؟,Jaipur,جايبور,augmented,جاipur,False,0.808
2,two_col_2902.png,في أي عام انخفض متوسط حجم الأسرة إلى 2.36؟,2004,٢٠٠٤,augmented,2018,False,1.355
3,two_col_2902.png,ما هو متوسط عدد الأفراد في الأسرة في المملكة المتحدة عام 2020؟,2.39,٢.٣٩,augmented,3.9 أفراد,False,1.201
4,two_col_2902.png,ما هو متوسط حجم الأسرة في منتصف التسعينيات؟,2.42,٢.٤٢,augmented,2.42 شخص,True,1.315
5,two_col_42948.png,ما هي كمية الفضة التي استُوردت إلى الهند في السنة المالية 2020؟,191.62,١٩١.٦٢,augmented,191.62 طن,True,1.736
6,two_col_100606.png,كم بلغ إنفاق حملة هيلاري كلينتون على وسائل الإعلام حتى أغسطس 2016؟,74.8,٧٤.٨,augmented,74.8 مليون دولار,True,0.815
7,two_col_24309.png,كم حققت أفلام إنكريدبلز 2 من أموال في الولايات المتحدة بين عامي 1995 و 2021؟,608.58,٦٠٨.٥٨,augmented,$608.58 مليون,True,2.24
8,two_col_23856.png,ما المتجر الذي اختاره عدد أكبر من الهنغاريين للتسوق من البقالة عبر الإنترنت في الشهر المقبل؟,Tesco,تيسكو,augmented,Tesco,True,1.398
9,two_col_5486.png,ما هو معدل البطالة لقطاع المرافق في كندا عام 2020؟,1.9,١.٩,augmented,17.8%,False,1.009
10,two_col_5486.png,ما هو معدل البطالة في القطاع الزراعي في كندا عام 2020؟,4.9,٤.٩,augmented,4.3%,False,0.915
11,two_col_40019.png,ما هو صافي واردات النفط الصينية في عام 2013؟,6.2,٦.٢,augmented,6.2 مليون برميل يومياً,True,1.63
12,two_col_102530.png,ما هي أغلى وجهة شاطئية في فلوريدا عام 2015؟,Marco Island,جزيرة ماركو,augmented,Marco Island,True,1.358
13,two_col_40361.png,ما هو معدل وفيات الرضع في كيريباتي عام 2019؟,40.1,٤٠.١,augmented,40.1 وفاة لكل 1000 ولادة حية,True,0.943
14,two_col_23137.png,ما كان متوسط سعر التذكرة لمباريات البانثرز في موسم 2005/06؟,44.28,٤٤.٢٨,augmented,$48.76,False,0.922
15,two_col_101507.png,ما كانت نتيجة سينجيتا غروميتي؟,99.75,٩٩.٧٥,augmented,99.75%,True,0.854
16,two_col_104592.png,ما هي قيمة أصول البنوك المحلية الفرنسية في عام 2016؟,6853,٦٨٥٣,augmented,6 853 مليار يورو,False,1.272
17,two_col_62053.png,ما هو متوسط تكلفة الإقامة ليوم واحد في نزل رخيص في زيورخ؟,126.53,١٢٦.٥٣,augmented,126.53 $,True,1.026
18,two_col_23835.png,كم عدد الدولارات التي استُثمرت في أوروبا في عام 2019؟,100.89,١٠٠.٨٩,augmented,$80,False,1.486
19,two_col_100456.png,كم كان راتب لاعبي فريق بورتلاند تريل بليزرز في موسم 2019/20؟,133,١٣٣,augmented,$133 مليون,True,0.68
20,two_col_5627.png,ما هو العدد المتوقع للسياح الوافدين إلى قطر بحلول عام 2022؟,3.7,٣.٧,augmented,3.7 مليون,True,0.813
21,two_col_22746.png,ما هي طريقة الدفع التي استخدمها 14% من مستخدمي المحافظ الإلكترونية للدفع عند نقاط البيع داخل المتجر؟,Android Pay,أندرويد باي,augmented,Apple Pay,False,1.097
22,two_col_102730.png,ما هي النسبة المئوية من اكتشافات برامج الفدية العالمية التي مثلتها الولايات المتحدة؟,29,٢٩,augmented,29%,True,1.024
23,two_col_62477.png,ما هو إجمالي الإنفاق الاستهلاكي للأسرة في الربع الرابع من عام 2019؟,277811,٢٧٧٨١١,augmented,"$250,000",False,1.064
24,two_col_102509.png,ما هو مستوى استهلاك الطاقة في القطاع الزراعي والغذائي الذي تم قياسه في عام 2008؟,37.3,٣٧.٣,augmented,37.3 مليون طن من الكيلوجرامات (مغ),True,1.826
