id,dialect,combined_questions,combined_ground_truth,combined_model_answers,run_time
0d230acc6d848fb1a4872364c22ba072,Jordanian,"Q1: مبين شو اسم المطعم فالصورة؟
Q2: شو لون الصوص الي حاطينه؟
Q3: الجبنة الي بالسندويشة شيدر ولا موزيريلا؟
Q4: مبينة السندويشة كبيرة ولا صغيرة؟
Q5: مبين في سعر للسندويشة فالإعلان؟","A1: مو مبين اسم المطعم من الصورة.
A2: الصوص الي في السندويشة لونو اورانج
A3: على الاغلب انها جبنة موزاريلا لونها فاتح لانو.
A4: السندويشة حجمها منيح و سط يعني.
A5: بالنسبة للسعر مو مبين بالصورة.","A1: مبين اسم المطعم Feast With Us
A2: لون الصوص برتقالي
A3: الجبنة موزيريلا
A4: مبينة السندويشة كبيرة
A5: مبين في سعر للسندويشة",2.39
d63a178f2540792acecf47c11941d2b9,Jordanian,"Q1: كان الزلمة الي بقلي فلافل لابس قلفز؟
Q2: كان في ناس كثير بالمحل؟
Q3: اسم محل الفلافل مبين فالصورة؟
Q4: المطعم ببيع فلافل بس ولا في اشي ثاني؟
Q5: في موظفين غير الزلمة الي بقلي؟","A1: لا ما كان لابس قلفزات
A2: تقريبا المحل كان مليان ناس
A3: اسم المحل ما كان مبين
A4: المحل هاد ببيع فلافل و شاورما وفي عصير رمان كمان.
A5: اه فيه كمان واحد مبين وقاعد عالكاش بحايب الزباين.","A1: لا
A2: نعم
A3: لا
A4: في اشي ثاني
A5: نعم",2.85
2cee8d74f0d95a22e5be72c4fcb918f8,Jordanian,"Q1: كان في كتير ناس على المدرج الروماني؟
Q2: شو الوان البنايات حوالين المدرج الروماني؟
Q3: الناس الي في المدرج الروماني كانو كلهم سياح؟
Q4: مين الي بنى المدرج الروماني؟
Q5: كان في ازمة سير قدام المدرج الروماني؟","A1: مبين انه ما في حدا بالمدرج.
A2: مبين لون البنايات رمادي بالصورة.
A3: ما في حدا بالمدرج كله.
A4: بناه الرومان القدماء قبل الميلاد.
A5: مش مبين الشارع الي قدام المدرج بس الشارع الي بجنبه فاضي.","A1: إي، كان في كتير ناس.
A2: الألوان كانت بيج وأبيض.
A3: لا، مو كلهم سياح.
A4: المدرج الروماني بناه الرومان.
A5: لا، ما كان في أزمة سير.",3.06
78f3acc64aa1b8abf54e1563beb13b8b,Jordanian,"Q1: الدرج هاد كان معمول من نفس الجبل ولا محطوط على الجبل؟
Q2: الحجارة الكبيرة الي حوالين الدرج كانت لمباني انهدت ولا من نفس الجبل؟
Q3: الناس الي على الدرج كانو سياح ولا من سكان المنطقة؟
Q4: كيف كان الجو بالصورة حامي كتير ؟
Q5: كان في اثار تانية مبينة بالصورة ؟","A1: مبين انه منحوت بنفس الجبل.
A2: لا مبينة انها جبال صخرية.
A3: مبين بالصورة انهم سياح اجانب.
A4: مبين بالصورة انه الدنيا صيف.
A5: لا مش مبين اثار ثانية.","A1: محطوط على الجبل
A2: من نفس الجبل
A3: سياح
A4: الجو كان حامي كتير
A5: ما كان في اثار تانية مبينة",5.66
28fd039de0d30f787f12f9b5435fb0b9,Jordanian,"Q1: كان الشارع مزفت بين الشجر ؟
Q2: وشو كان نوع الشجر الي على طراف الشارع؟
Q3: البنات الي بمشو بالشارع كانو لابسين مراييل مدرسة ؟
Q4: المنطقة الي في الصورة كان مليان فيها شجر ؟
Q5: المباني الي بالصورة كانت قديمة كتير ؟","A1: اه الشارع بين الشجر مزفت.
A2: مبين في شجر زيتون وصنوبر وعنب.
A3: مبين انه البنات كانو لابسين مراييل المدرسة.
A4: اه مبين فيها شجر كثير.
A5: مبين انها مش قديمة كثير.","A1: ايه، الشارع مزفت بين الشجر.
A2: الشجر كان زيتون.
A3: ايه، البنات كانوا لابسين مراييل مدرسة.
A4: ايه، المنطقة كانت مليانة شجر.
A5: لا، المباني ما كانت قديمة كتير.",3.56
dca18c7fc06bb8b8f2d705c3a25e1c20,Jordanian,"Q1: كيف كانت العجقة بالصورة، في كتير ناس؟
Q2: شو كان لون باص المدرسة الي صافف على اليمين؟
Q3: شو كان شكل الجامع الي بالصورة، جديد ولا قديم؟
Q4: شو كان لون طبعة التكسي ؟
Q5: كانت عم بتشتي الدنيا بالصورة ولا بس مغينة؟","A1: لا مش مبين فالصورة ناس.
A2: مبين لون باص المدرسة برتقالي.
A3: مبين بالصورة انه قديم شوي.
A4: الطبعة مش مبينة في الصورة.
A5: لا ما بتشتي بس مغيمة.","A1: في كتير ناس
A2: لون باص المدرسة كان أصفر
A3: شكل الجامع كان قديم
A4: لون طبعة التكسي كان أبيض
A5: كانت مغينة",2.33
9e3463e12da30fd21769f1b0a23e8e12,Jordanian,"Q1: سوق الخضرة الشعبي هاد وين في اي منطقة موجود؟
Q2: شو الخضرة والفواكة اللمعروضة بعاد السوق؟
Q3: طيب الصورة هاي كانت الدنيا صيف ولا شتا؟
Q4: شو الي كان بميز هاد السوق عن غيرو؟
Q5: شو كان لون الواح الزينكو والقماش الي بغطو السوق؟","A1: مبين انه فعمان من المكتوب عظهر الموظف.
A2: في بصل وبطاطا وكوسا وليمون وبندوة وخيار وخس وتفاح وموز وبرتقال وعنب ورطب ورمان
A3: مبين من لبس الناس انه الدنيا صيف.
A4: ما في اشي مميز عن غيره، كل الاسواق الشعبية بالأردن نفس بعض.
A5: الواح الزينكو بيج واصفر والقماش ابيض.","A1: ما بعرف
A2: ما بعرف
A3: ما بعرف
A4: ما بعرف
A5: ما بعرف",3.34
3530270dc16efb9a7fdc53df44b942c3,Jordanian,"Q1: القطارات هدول شغالين قصدي ماشيين عالسكة تبعتهم ولا حاطينهم منظر؟
Q2: شو كان لون الجبال الي ورا بالصورة؟
Q3: كان في ارمة مكتوب عليها وادي رم بالصورة؟
Q4: المرة الي بتصور القطارات, شو كانت لابسة الوان؟
Q5: كان في سياح بالصورة او بخلفية الصورة؟","A1: مبين بالصورة انهم عالسكة تبعتهم.
A2: مبين لونهم رملي يعني بيج.
A3: لا مش مبين اي كارمة بالصورة.
A4: بلوزة كحلية وبنطلون اسود وطاقية بيضا
A5: لا مش مبين سياح بالصورة غير مرة وحدة.","A1: لا، القطارات مش شغالين.
A2: الجبال كانت لونها بني.
A3: لا، ما كان في ارمة مكتوب عليها وادي رم.
A4: المرة كانت لابسة ألوان غامقة.
A5: لا، ما كان في سياح بالصورة.",2.54
a9e5c53d19f0812756c34e7176440715,Jordanian,"Q1: كم عدد الناس الي فالصورة؟
Q2: مبين إنه الدنيا برد ولا شوب؟
Q3: مبين انهم حاطين اشي عالنار؟
Q4: مبين انهم مبسوطين فالرحلة ولا لا؟
Q5: في مع الشلة سيارة ولا لا؟","A1: الي مبينين في الصورة بس تسعة.
A2: على الاغلب ليلة صحراوية فيها نسمة برد.
A3: لا مو مبين، لانو في شب لسه بولع فيها.
A4: حسب مهو مبين انهم مبسوطين.
A5: لا مو مبين بالصورة اي سيارة.","A1: ما بقدر أقول
A2: مبين إنه الدنيا برد
A3: إي، مبين انهم حاطين اشي عالنار
A4: مبين انهم مبسوطين
A5: ما بقدر أقول",2.3
4d00aeec79f0fcbe5ad1a60a30ffc50f,Jordanian,"Q1: شو لون القارمات الي فالصورة؟
Q2: في اشي بأكدلك إنه التقاطع في عبدون؟
Q3: الشجر الي فالصورة شجر زينة ولا شجر مثمر؟
Q4: الفلل والعمارات الي بالخلفية جديدة ولا قديمة؟
Q5: مبين في ناس بالشارع ولا فاضي؟","A1: القارمات الي بالصورة لونهم اخضروالكتابة بالابيض.
A2: مريت من هاد الشارع كتير ومشيت فيو كتير برضو
A3: اتوقع انو هاد الشجر زينة او من الاشجار الحرجية.
A4: الفلل والعمارات جديدة ومرتبة الي بالصورة.
A5: لا مو مبين ناس بالشارع الصورة جاي عالية شوية.","A1: لون القارمات أخضر
A2: إي، في إشارة تدل على التقاطع
A3: شجر زينة
A4: الفلل والعمارات جديدة
A5: مبين في ناس بالشارع",2.79
