task_id,question_id,image_path,query_text,ground_truth_code,model_response,code_generation_time,VisualEval_Result,VisualEval_IoU,VisualEval_Reason,LLM_Judge_Result,LLM_Judge_Reasoning,EvalMethod
1,q4,../Datasets/TurtleBench/Tasks/1/image/1.png,"recreates the given shape + its horizontal and vertical diameters.

Constraint - Use these variables strictly:
radius=100","t.circle(radius)
t.circle(radius, 90)
t.left(90)
t.forward(2 * radius)
t.left(90)
t.circle(radius, 90)
t.left(90)
t.forward(2 * radius)
","import math
t.penup()
t.goto(0, -radius)
t.pendown()
t.circle(radius)
t.penup()
t.goto(-radius, 0)
t.pendown()
t.goto(radius, 0)
t.penup()
t.goto(0, -radius)
t.pendown()
t.goto(0, radius)",1.97,False,0.8632,visual_iou=0.863; vars=['radius'],False,"the model draws a circle with a cross inside, while the ground truth draws a circle followed by a complex path of arcs and lines.",llm_after_visual_false
1,q1,../Datasets/TurtleBench/Tasks/1/image/1.png,"creates exactly the same shape.

Constraint - Use these variables strictly:
radius=100","t.circle(radius)
","import math
t.penup()
t.goto(0, -radius)
t.pendown()
t.circle(radius)",1.04,True,1.0,visual_iou=1.000; vars=['radius'],True,visual_iou=1.000; vars=['radius'],visual
1,q3,../Datasets/TurtleBench/Tasks/1/image/1.png,"divides the shape into four equal pieces and draws the upper left and bottom right quarters.

Constraint - Use these variables strictly:
radius=100","for i in range(4):
        if i % 2 == 0:
          t.penup()
        else:
          t.pendown()
        t.circle(radius, 90)
","import math
t.penup()
t.goto(0, -radius)
t.pendown()
t.setheading(90)
t.circle(radius)
t.penup()
t.goto(-radius, radius)
t.pendown()
t.setheading(270)
t.circle(radius)",1.52,False,0.0127,visual_iou=0.013; vars=['radius'],False,"the model code draws two full circles, while the ground truth code draws a single circle composed of alternating visible and invisible arcs.",llm_after_visual_false
1,q2,../Datasets/TurtleBench/Tasks/1/image/1.png,"creates the upper semicircle in the given shape.

Constraint - Use these variables strictly:
radius=100","t.setheading(90)
t.circle(radius, 180)
","t.penup()
t.goto(0, -radius)
t.pendown()
t.setheading(90)
t.circle(radius)",1.5,False,0.0057,visual_iou=0.006; vars=['radius'],False,"the model draws a full circle, while the ground truth draws only a semicircle.",llm_after_visual_false
2,q4,../Datasets/TurtleBench/Tasks/2/image/2.png,"in the given shape connects the midpoints of each side.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(60)
for i in range(3):
  t.forward(triangle_side)
  t.right(120)
t.forward(triangle_side / 2)
t.right(60)
for i in range(3):
  t.forward(triangle_side / 2)
  t.right(120)
","import math

triangle_side = 200
t.penup()
t.goto(-triangle_side/2, 0)
t.pendown()
t.setheading(0)
t.forward(triangle_side)
t.left(120)
t.forward(triangle_side)
t.left(120)
t.forward(triangle_side)
t.left(120)

# Move to first midpoint
t.penup()
t.goto(-triangle_side/4, 0)
t.pendown()
t.setheading(0)
t.forward(triangle_side/2)
t.left(120)
t.forward(triangle_side/2)
t.left(120)
t.forward(triangle_side/2)
t.left(120)

# Move to second midpoint
t.penup()
t.goto(triangle_side/4, 0)
t.pendown()
t.setheading(0)
t.forward(triangle_side/2)
t.left(120)
t.forward(triangle_side/2)
t.left(120)
t.forward(triangle_side/2)
t.left(120)

# Move to third midpoint
t.penup()
t.goto(0, math.sqrt(3)/4 * triangle_side)
t.pendown()
t.setheading(0)
t.forward(triangle_side/2)
t.left(120)
t.forward(triangle_side/2)
t.left(120)
t.forward(triangle_side/2)
t.left(120)",2.77,False,0.033,visual_iou=0.033; vars=['triangle_side'],False,"the model code draws four separate triangles, while the ground truth code draws only two.",llm_after_visual_false
2,q1,../Datasets/TurtleBench/Tasks/2/image/2.png,"creates exactly the same shape.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(60)
for i in range(3):
  t.forward(triangle_side)
  t.right(120)
","import turtle
triangle_side=200
t = turtle.Turtle()
for _ in range(3):
    t.forward(triangle_side)
    t.left(120)",0.68,True,1.0,visual_iou=1.000; vars=['triangle_side'],True,visual_iou=1.000; vars=['triangle_side'],visual
2,q3,../Datasets/TurtleBench/Tasks/2/image/2.png,"recreates the same shape upside down.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(0)
for i in range(3):
  t.forward(triangle_side)
  t.right(120)
","import math
triangle_side=200
t.left(180)
for i in range(3):
    t.forward(triangle_side)
    t.left(120)",1.79,False,0.8121,visual_iou=0.812; vars=['triangle_side'],True,"both draw an equilateral triangle of the same size, just with different orientations.",llm_after_visual_false
2,q2,../Datasets/TurtleBench/Tasks/2/image/2.png,"removes the bottom side of the given shape.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(60)
for i in range(2):
  t.forward(triangle_side)
  t.right(120)
","import math
t.penup()
t.goto(-100, -100)
t.pendown()
t.setheading(0)
t.forward(triangle_side)
t.left(120)
t.forward(triangle_side)
t.left(120)
t.forward(triangle_side)",1.62,False,0.7071,visual_iou=0.707; vars=['triangle_side'],False,"the model code draws a full equilateral triangle, while the ground truth code only draws two sides of one.",llm_after_visual_false
3,q10,../Datasets/TurtleBench/Tasks/3/image/3.png,"in the given shape connects the midpoints of each side of the square.

Constraint - Use these variables strictly:
square_side=200","for i in range(4):
  t.forward(square_side)
  t.right(90)
t.forward(square_side / 2)
t.right(45)
for i in range(4):
  t.forward(square_side * sqrt(2) / 2)
  t.right(90)
","t.penup()
t.goto(-100, 100)
t.pendown()
t.goto(100, 100)
t.goto(100, -100)
t.goto(-100, -100)
t.goto(-100, 100)",1.81,False,0.0,gt_exec_error: name 'sqrt' is not defined,False,"the model code draws a single square, while the ground truth code draws a square plus an additional rotated square inside it.",llm_after_visual_false
3,q9,../Datasets/TurtleBench/Tasks/3/image/3.png,"in the given shape, adds four smaller squares to divide the larger square into four equal pieces.

Constraint - Use these variables strictly:
square_side=200","for j in range(4):
  t.right(90)
  for i in range(4):
    t.forward(square_side / 2)
    t.right(90)
","square_side = 200
t.penup()
t.goto(-square_side/2, -square_side/2)
t.pendown()
for _ in range(4):
    t.forward(square_side)
    t.left(90)
t.penup()
t.goto(0, -square_side/2)
t.pendown()
t.forward(square_side)
t.penup()
t.goto(-square_side/2, 0)
t.pendown()
t.right(90)
t.forward(square_side)",2.13,False,0.1859,visual_iou=0.186; vars=['square_side'],False,"the model code draws a square with a cross inside, while the ground truth code draws four smaller squares arranged in a larger square.",llm_after_visual_false
3,q8,../Datasets/TurtleBench/Tasks/3/image/3.png,"creates the given shape + its diagonals.

Constraint - Use these variables strictly:
square_side=200","from math import sqrt
t.setheading(0)
for i in range(4):
  t.forward(square_side)
  t.right(90)
t.right(45)
t.forward(square_side * sqrt(2))
t.right(135)
t.forward(square_side)
t.right(135)
t.forward(square_side * sqrt(2)) 
","import math
square_side=200
t.penup()
t.goto(-square_side/2, -square_side/2)
t.pendown()
for _ in range(4):
    t.forward(square_side)
    t.left(90)
t.penup()
t.goto(-square_side/2, -square_side/2)
t.pendown()
t.goto(square_side/2, square_side/2)
t.penup()
t.goto(square_side/2, -square_side/2)
t.pendown()
t.goto(-square_side/2, square_side/2)",2.31,False,0.8732,visual_iou=0.873; vars=['square_side'],True,both draw a square with two intersecting diagonals.,llm_after_visual_false
3,q6,../Datasets/TurtleBench/Tasks/3/image/3.png,"creates the given shape + its diagonals and removes the sides on the left and right.

Constraint - Use these variables strictly:
square_side=200","from math import sqrt
t.setheading(0)
for i in range(4):
  if i % 2 == 1:
    t.penup()
  else:
    t.down()
  t.forward(square_side)
  t.right(90)
t.pendown()
t.right(45)
t.forward(square_side * sqrt(2))
t.right(135)
t.forward(square_side)
t.right(135)
t.forward(square_side * sqrt(2))
","import math
square_side=200
t.penup()
t.goto(-square_side/2, -square_side/2)
t.pendown()
t.forward(square_side)
t.left(90)
t.forward(square_side)
t.left(90)
t.forward(square_side)
t.left(90)
t.forward(square_side)
t.left(90)
t.penup()
t.goto(-square_side/2, square_side/2)
t.pendown()
t.goto(square_side/2, -square_side/2)
t.penup()
t.goto(square_side/2, square_side/2)
t.pendown()
t.goto(-square_side/2, -square_side/2)
t.penup()
t.goto(-square_side/2, square_side/2)
t.pendown()
t.goto(square_side/2, -square_side/2)
t.penup()
t.goto(square_side/2, square_side/2)
t.pendown()
t.goto(-square_side/2, -square_side/2)
t.penup()
t.goto(-square_side/2, square_side/2)
t.pendown()
t.goto(square_side/2, -square_side/2)
t.penup()
t.goto(square_side/2, square_side/2)
t.pendown()
t.goto(-square_side/2, -square_side/2)
t.penup()
t.goto(-square_side/2, square_side/2)
t.pendown()
t.goto(square_side/2, -square_side/2)
t.penup()
t.goto(square_side/2, square_side/2)
t.pendown()
t.goto(-square_side/2, -square_side/2)
t.penup()
t.goto(-square_side/2, square_side/2)
t.pendown()
t.goto(square_side/2, -square_side/2)
t.penup()
t.goto(square_side/2, square_side/2)
t.pendown()
t.goto(-square_side/2, -square_side/2)
t.penup()
t.goto(-square_side/2, square_side/2)
t.pendown()
t.goto(square_side/2, -square_side/2)
t.penup()
t.goto(square_side/2, square_side/2)
t.pendown()
t.goto(-square_side/2, -square_side/2)
t.penup()
t.goto(-square_side/2, square_side/2)
t.pendown()
t.goto(square_side/2, -square_side/2)
t.penup()
t.goto(square_side/2, square_side/2)
t.pendown()
t.goto(-square_side/2, -square_side/2)
t.penup()
t.goto(-square_side/2, square_side/2)
t.pendown()
t.goto(square_side/2, -square_side/2)
t.penup()",8.51,False,0.6186,visual_iou=0.619; vars=['square_side'],False,"the model code draws a square with repeated diagonal lines, while the ground truth code draws a square with only two intersecting diagonals.",llm_after_visual_false
3,q7,../Datasets/TurtleBench/Tasks/3/image/3.png,"creates the given shape without its sides on the left and right.

Constraint - Use these variables strictly:
square_side=200","for i in range(4):
  if i % 2 == 1:
    t.penup()
  else:
    t.down()
  t.forward(square_side)
  t.right(90)
","import math
square_side=200
t.penup()
t.goto(-square_side/2, -square_side/2)
t.pendown()
t.goto(square_side/2, -square_side/2)
t.goto(square_side/2, square_side/2)
t.goto(-square_side/2, square_side/2)
t.goto(-square_side/2, -square_side/2)",1.0,False,0.4182,visual_iou=0.418; vars=['square_side'],False,"the ground truth code draws a dashed line (alternating pen up/down), while the model code draws a solid square.",llm_after_visual_false
3,q5,../Datasets/TurtleBench/Tasks/3/image/3.png,"recreates the same shape rotated by 45 degrees.

Constraint - Use these variables strictly:
square_side=200","t.setheading(45)
for i in range(4):
  t.forward(square_side)
  t.right(90)
","import math
t.left(45)
for _ in range(4):
    t.forward(square_side)
    t.left(90)",1.09,False,0.9048,visual_iou=0.905; vars=['square_side'],False,"the first snippet draws a square counter-clockwise, while the second draws it clockwise.",llm_after_visual_false
3,q4,../Datasets/TurtleBench/Tasks/3/image/3.png,"creates exactly the same shape.

Constraint - Use these variables strictly:
square_side=200","t.setheading(0)
for i in range(4):
  t.forward(square_side)
  t.right(90)
","for _ in range(4):
    t.forward(square_side)
    t.right(90)",1.43,True,1.0,visual_iou=1.000; vars=['square_side'],True,visual_iou=1.000; vars=['square_side'],visual
3,q1,../Datasets/TurtleBench/Tasks/3/image/3.png,"creates exactly the same shape.

Constraint - Use these variables strictly:
square_side=200","t.setheading(0)
for i in range(4):
  t.forward(square_side)
  t.right(90)
","import math
square_side=200
t.penup()
t.goto(-square_side/2, -square_side/2)
t.pendown()
for _ in range(4):
    t.forward(square_side)
    t.left(90)",1.36,False,0.8396,visual_iou=0.840; vars=['square_side'],True,"both draw a square of the same side length, just in different rotational directions.",llm_after_visual_false
3,q3,../Datasets/TurtleBench/Tasks/3/image/3.png,"removes the bottom side of the shape.

Constraint - Use these variables strictly:
square_side=200","t.setheading(90)
for i in range(3):
  t.forward(square_side)
  t.right(90)
","t.penup()
t.goto(-100, -100)
t.pendown()
for _ in range(3):
    t.forward(square_side)
    t.left(90)",0.79,False,0.3617,visual_iou=0.362; vars=['square_side'],False,"the first snippet draws three sides of a square turning left, while the second draws three sides turning right, resulting in mirrored shapes.",llm_after_visual_false
3,q2,../Datasets/TurtleBench/Tasks/3/image/3.png,"removes the bottom side of the shape and substitutes it with a semicircle its diameter equals a side of the square and its curved edge is at the top.

Constraint - Use these variables strictly:
square_side=200","t.setheading(90)
for i in range(3):
  t.forward(square_side)
  t.right(90)
t.right(90)
t.circle(square_side / 2, 180)
","import math
square_side=200
t.penup()
t.goto(-square_side/2, -square_side/2)
t.pendown()
for i in range(3):
    t.forward(square_side)
    t.left(90)
t.penup()
t.goto(0, -square_side/2)
t.pendown()
t.circle(square_side/2, 180)",1.08,False,0.1122,visual_iou=0.112; vars=['square_side'],False,the model code draws an open-sided square (3 sides) while the ground truth draws a different orientation and potentially different pathing.,llm_after_visual_false
4,q5,../Datasets/TurtleBench/Tasks/4/image/4.png,"removes the sides of the pentagon and only draws its diagonals.

Constraint - Use these variables strictly:
pentagon_side = 200","t.setheading(72)
for i in range(5):
  t.forward(2 * pentagon_side * cos(pi / 5))
  t.right(180 - 36)
","import math

pentagon_side = 200
t.penup()
t.goto(0, -pentagon_side / 2)
t.pendown()
t.setheading(0)
t.forward(pentagon_side)
t.left(180 - 36)
t.forward(pentagon_side)
t.left(180 - 36)
t.forward(pentagon_side)
t.left(180 - 36)
t.forward(pentagon_side)
t.left(180 - 36)
t.forward(pentagon_side)
t.left(180 - 36)
t.forward(pentagon_side)
t.left(180 - 36)
t.forward(pentagon_side)
t.left(180 - 36)
t.forward(pentagon_side)
t.left(180 - 36)
t.forward(pentagon_side)
t.left(180 - 36)
t.forward(pentagon_side)
t.left(180 - 36)
t.forward(pentagon_side)
t.left(180 - 36)
t.forward(pentagon_side)
t.left(180 - 36)
t.forward(pentagon_side)
t.left(180 - 36)
t.forward(pentagon_side)
t.left(180 - 36)
t.forward(pentagon_side)
t.left(180 - 36)
t.forward(pentagon_side)",4.81,False,0.0,gt_exec_error: name 'cos' is not defined,False,the model code draws a complex star polygon with many more segments than the simple pentagon-based shape in the ground truth.,llm_after_visual_false
