task_id,question_id,image_path,query_text,ground_truth_code,model_response,code_generation_time,LLM_Judge_Result,LLM_Judge_Reasoning
1,q4,../Datasets/TurtleBench/Tasks/1/image/1.png,"recreates the given shape + its horizontal and vertical diameters.

Constraint - Use these variables strictly:
radius=100","t.circle(radius)
t.circle(radius, 90)
t.left(90)
t.forward(2 * radius)
t.left(90)
t.circle(radius, 90)
t.left(90)
t.forward(2 * radius)
","import math
t.penup()
t.goto(0, -radius)
t.pendown()
t.circle(radius)
t.penup()
t.goto(-radius, 0)
t.pendown()
t.goto(radius, 0)
t.penup()
t.goto(0, -radius)
t.pendown()
t.goto(0, radius)",1.97,False,"The Model Generated Code draws a circle and two lines, while the Ground Truth Code creates a more complex shape involving arcs and additional lines, resulting in different final shapes."
1,q1,../Datasets/TurtleBench/Tasks/1/image/1.png,"creates exactly the same shape.

Constraint - Use these variables strictly:
radius=100","t.circle(radius)
","import math
t.penup()
t.goto(0, -radius)
t.pendown()
t.circle(radius)",1.04,False,"The first script moves the turtle to a specific position before drawing the circle, while the second script draws the circle from the current position, potentially resulting in different starting points."
1,q3,../Datasets/TurtleBench/Tasks/1/image/1.png,"divides the shape into four equal pieces and draws the upper left and bottom right quarters.

Constraint - Use these variables strictly:
radius=100","for i in range(4):
        if i % 2 == 0:
          t.penup()
        else:
          t.pendown()
        t.circle(radius, 90)
","import math
t.penup()
t.goto(0, -radius)
t.pendown()
t.setheading(90)
t.circle(radius)
t.penup()
t.goto(-radius, radius)
t.pendown()
t.setheading(270)
t.circle(radius)",1.52,False,"The first script draws two separate circles, while the second script draws a quarter circle four times, resulting in a different shape."
1,q2,../Datasets/TurtleBench/Tasks/1/image/1.png,"creates the upper semicircle in the given shape.

Constraint - Use these variables strictly:
radius=100","t.setheading(90)
t.circle(radius, 180)
","t.penup()
t.goto(0, -radius)
t.pendown()
t.setheading(90)
t.circle(radius)",1.5,False,"The first script draws a full circle, while the second script only draws a semicircle (180 degrees)."
2,q4,../Datasets/TurtleBench/Tasks/2/image/2.png,"in the given shape connects the midpoints of each side.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(60)
for i in range(3):
  t.forward(triangle_side)
  t.right(120)
t.forward(triangle_side / 2)
t.right(60)
for i in range(3):
  t.forward(triangle_side / 2)
  t.right(120)
","import math

triangle_side = 200
t.penup()
t.goto(-triangle_side/2, 0)
t.pendown()
t.setheading(0)
t.forward(triangle_side)
t.left(120)
t.forward(triangle_side)
t.left(120)
t.forward(triangle_side)
t.left(120)

# Move to first midpoint
t.penup()
t.goto(-triangle_side/4, 0)
t.pendown()
t.setheading(0)
t.forward(triangle_side/2)
t.left(120)
t.forward(triangle_side/2)
t.left(120)
t.forward(triangle_side/2)
t.left(120)

# Move to second midpoint
t.penup()
t.goto(triangle_side/4, 0)
t.pendown()
t.setheading(0)
t.forward(triangle_side/2)
t.left(120)
t.forward(triangle_side/2)
t.left(120)
t.forward(triangle_side/2)
t.left(120)

# Move to third midpoint
t.penup()
t.goto(0, math.sqrt(3)/4 * triangle_side)
t.pendown()
t.setheading(0)
t.forward(triangle_side/2)
t.left(120)
t.forward(triangle_side/2)
t.left(120)
t.forward(triangle_side/2)
t.left(120)",2.77,False,"The first script draws three full triangles at different positions, while the second script draws one full triangle and one smaller triangle, resulting in different shapes."
2,q1,../Datasets/TurtleBench/Tasks/2/image/2.png,"creates exactly the same shape.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(60)
for i in range(3):
  t.forward(triangle_side)
  t.right(120)
","import turtle
triangle_side=200
t = turtle.Turtle()
for _ in range(3):
    t.forward(triangle_side)
    t.left(120)",0.68,False,"The first script draws a triangle by turning left, while the second script turns right, resulting in different orientations of the triangle."
2,q3,../Datasets/TurtleBench/Tasks/2/image/2.png,"recreates the same shape upside down.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(0)
for i in range(3):
  t.forward(triangle_side)
  t.right(120)
","import math
triangle_side=200
t.left(180)
for i in range(3):
    t.forward(triangle_side)
    t.left(120)",1.79,False,"The first script draws a triangle by turning left, while the second script turns right, resulting in different orientations of the triangle."
2,q2,../Datasets/TurtleBench/Tasks/2/image/2.png,"removes the bottom side of the given shape.

Constraint - Use these variables strictly:
triangle_side=200","t.setheading(60)
for i in range(2):
  t.forward(triangle_side)
  t.right(120)
","import math
t.penup()
t.goto(-100, -100)
t.pendown()
t.setheading(0)
t.forward(triangle_side)
t.left(120)
t.forward(triangle_side)
t.left(120)
t.forward(triangle_side)",1.62,False,"The first script draws a triangle starting from a different heading and position, while the second script draws a triangle with a different orientation and does not complete the shape."
3,q10,../Datasets/TurtleBench/Tasks/3/image/3.png,"in the given shape connects the midpoints of each side of the square.

Constraint - Use these variables strictly:
square_side=200","for i in range(4):
  t.forward(square_side)
  t.right(90)
t.forward(square_side / 2)
t.right(45)
for i in range(4):
  t.forward(square_side * sqrt(2) / 2)
  t.right(90)
","t.penup()
t.goto(-100, 100)
t.pendown()
t.goto(100, 100)
t.goto(100, -100)
t.goto(-100, -100)
t.goto(-100, 100)",1.81,False,"The first script draws a square, while the second script draws a square and a smaller square rotated inside it, resulting in different shapes."
3,q9,../Datasets/TurtleBench/Tasks/3/image/3.png,"in the given shape, adds four smaller squares to divide the larger square into four equal pieces.

Constraint - Use these variables strictly:
square_side=200","for j in range(4):
  t.right(90)
  for i in range(4):
    t.forward(square_side / 2)
    t.right(90)
","square_side = 200
t.penup()
t.goto(-square_side/2, -square_side/2)
t.pendown()
for _ in range(4):
    t.forward(square_side)
    t.left(90)
t.penup()
t.goto(0, -square_side/2)
t.pendown()
t.forward(square_side)
t.penup()
t.goto(-square_side/2, 0)
t.pendown()
t.right(90)
t.forward(square_side)",2.13,False,"The first script draws a square and two lines, while the second script creates a different pattern with a series of smaller squares."
3,q8,../Datasets/TurtleBench/Tasks/3/image/3.png,"creates the given shape + its diagonals.

Constraint - Use these variables strictly:
square_side=200","from math import sqrt
t.setheading(0)
for i in range(4):
  t.forward(square_side)
  t.right(90)
t.right(45)
t.forward(square_side * sqrt(2))
t.right(135)
t.forward(square_side)
t.right(135)
t.forward(square_side * sqrt(2)) 
","import math
square_side=200
t.penup()
t.goto(-square_side/2, -square_side/2)
t.pendown()
for _ in range(4):
    t.forward(square_side)
    t.left(90)
t.penup()
t.goto(-square_side/2, -square_side/2)
t.pendown()
t.goto(square_side/2, square_side/2)
t.penup()
t.goto(square_side/2, -square_side/2)
t.pendown()
t.goto(-square_side/2, square_side/2)",2.31,False,"The first script draws a square and two diagonals, while the second script draws a square and two lines at 45-degree angles, resulting in different shapes."
3,q6,../Datasets/TurtleBench/Tasks/3/image/3.png,"creates the given shape + its diagonals and removes the sides on the left and right.

Constraint - Use these variables strictly:
square_side=200","from math import sqrt
