id,level,subject,image,question,ground_truth,model_answer,evaluation_passed,run_time
1,2,arithmetic,images/1.jpg,ما الرقم الذي يجب وضعه مكان علامة الاستفهام؟,60,60,True,1.632
2,2,arithmetic,images/2.jpg,أي دراجة هي الأغلى؟,A,A,True,1.457
3,1,metric geometry - length,images/3.jpg,أي طائرة ورقية لديها الخيط الأطول؟,C,C,True,0.923
4,1,counting,images/4.jpg,كم عدد الأرقام المختلفة التي يمكنك العثور عليها في هذه الصورة؟,6,2,False,0.608
5,2,arithmetic,images/5.jpg,ما هو الرقم الذي يجب كتابته في زهرة الأقحوان الأخيرة؟,61,21,False,0.786
6,3,logic,images/6.jpg,"للمعرفة في أي صورة يمكننا رؤية قطط ميستي، علماً بأن أذني أحدها بلون مختلف؟
<image1>",D,C,False,0.972
7,1,counting,images/7.jpg,كم عدد الطوب المفقود في الجدار؟,6,4,False,0.503
8,2,arithmetic,images/8.jpg,مجموع الأرقام الثلاثة على كل ضلع من أضلاع المثلث متساوٍ. تم تلطيخ رقمين بالحبر. ما هو مجموع هذين الرقمين؟,2,13,False,0.658
9,1,graph theory,images/9.jpg,يتبع السنجاب مسارات المتاهة ويجمع الطعام للشتاء. ما الشيء الذي لن يتمكن من أخذه؟,D,D,True,1.015
10,2,arithmetic,images/10.jpg,يمكن الجلوس لأربعة أشخاص على طاولة مربعة. ما هو الحد الأقصى لعدد الأشخاص الذين يمكن جلوسهم إذا رصصنا أربع طاولات من هذا النوع في صف واحد؟,10,8,False,0.622
11,1,solid geometry,images/11.jpg,بنى مايك بناءً إنشائياً، موضحاً في الصورة العلوية، من مكعبات متساوية. أخذت ليلي عدة مكعبات منه، فأصبح بناء مايك كما نراه في الصورة السفلية. كم عدد المكعبات التي أخذتها ليلي؟,7,4,False,0.575
12,2,arithmetic,images/12.jpg,الآن هو عام 2008. ما هو المجموع الكلي لهذه الأرقام؟,10,1 + 6 + 12 + 18 + 24 + 30 + 1 + 7 + 13 + 19 + 25 + 31 + 1 + 8 + 14 + 20 + 26 + 1 + 9 + 15 + 21 + 27 + 2 + 10 + 16 + 22 + 28 + 3 + 11 + 17 + 23 + 29 + 4 + 5 + 11 + 17 + 23 + 29 = 442,True,3.415
13,2,transformation geometry,images/13.jpg,أي من هذه الأشكال يختلف عن الأربعة الأخرى؟,E,E,True,1.135
14,1,counting,images/14.jpg,كتبت ماري جميع الأرقام من 1 إلى 30. كم مرة كتبت الرقم 2؟,13,4,False,0.555
15,2,arithmetic,images/15.jpg,احتفلت إميلي بعيد ميلادها يوم الخميس، وأختها ليابا قبل 8 أيام. ما هو اليوم الذي كان عليه ذلك؟,A,الجمعة,False,1.446
16,2,arithmetic,images/16.jpg,كم عدد النقاط الموجودة على الجوانب الثلاثة غير المرئية للزهر؟,11,1,False,0.829
17,2,arithmetic,images/17.jpg,قفزة الكنغر الصغير أقصر بثلاث مرات من قفزة أمه. فكم قفزة يجب أن يقوم بها الكنغر الصغير ليغطي مسافة تعادل 7 قفزات من أمه؟,21,21,True,0.938
