id,imgname,query,ground_truth,type,model_answer,evaluation_passed,run_time
0,two_col_22779.png,How many colleges did Bengaluru have in 2019?,880,augmented,880,True,1.529
1,two_col_22779.png,What is the capital of Rajasthan?,Jaipur,augmented,880,False,1.475
2,two_col_2902.png,In what year did the average household size drop to 2.36?,2004,augmented,2.36,False,1.151
3,two_col_2902.png,What was the average number of people per household in the UK in 2020?,2.39,augmented,2.41,True,1.127
4,two_col_2902.png,What was the average household size in the mid-1990s?,2.42,augmented,2.36,True,1.281
5,two_col_42948.png,How much silver was imported into India in fiscal year 2020?,191.62,augmented,191.62,True,1.178
6,two_col_100606.png,How much money was spent by Hillary Clinton's campaign on media as of August 2016?,74.8,augmented,74.8,True,1.099
7,two_col_24309.png,How much money did Incredibles 2 make in the U.S. between 1995 and 2021?,608.58,augmented,608.58,True,1.458
8,two_col_23856.png,What store did more Hungarians choose for online grocery shopping in the next month?,Tesco,augmented,51%,False,1.129
9,two_col_5486.png,What was the unemployment rate for the utilities industry in Canada in 2020?,1.9,augmented,17.8,False,1.484
10,two_col_5486.png,What was the unemployment rate of the agricultural industry in Canada in 2020?,4.9,augmented,17.8%,False,1.775
11,two_col_40019.png,What was China's net oil imports in 2013?,6.2,augmented,6.2,True,1.281
12,two_col_102530.png,What was the most expensive beach destination in Florida in 2015?,Marco Island,augmented,302,False,1.23
13,two_col_40361.png,What was the infant mortality rate in Kiribati in 2019?,40.1,augmented,40.1,True,1.154
14,two_col_23137.png,What was the average ticket price for Panthers games in 2005/06?,44.28,augmented,33.39,False,1.123
15,two_col_101507.png,What was the score for Singita Grumeti?,99.75,augmented,99.75,True,1.222
16,two_col_104592.png,What was the value of the assets of French domestic banks in 2016?,6853,augmented,6.853,False,1.122
17,two_col_62053.png,What was the average cost per day to stay in a cheap hostel in Zurich?,126.53,augmented,86.8,False,1.31
18,two_col_23835.png,How many dollars were invested in Europe in 2019?,100.89,augmented,110,False,1.161
19,two_col_100456.png,How much were the player salaries of the Portland Trail Blazers in the 2019/20 season?,133,augmented,143,False,1.249
20,two_col_5627.png,What was the forecast number of inbound tourists in Qatar by 2022?,3.7,augmented,3.7,True,1.237
21,two_col_22746.png,What payment method did 14 percent of mobile wallet users use to pay at in-store checkout?,Android Pay,augmented,40%,False,1.607
22,two_col_102730.png,What percentage of global ransomware detections did the United States account for?,29,augmented,29%,True,1.124
23,two_col_62477.png,What was the household final consumption expenditure of Q4 2019?,277811,augmented,3200000,False,1.099
24,two_col_102509.png,What was the energy use in the agri-food sector measured at in 2008?,37.3,augmented,37.3,True,1.15
25,two_col_102509.png,What was the energy use of the agri-food sector in 2009?,30.3,augmented,37.3,False,1.096
26,two_col_103172.png,How many PET scanners were in Greece in 2018?,13,augmented,13,True,1.092
27,two_col_40849.png,What was Nebraska's GDP in dollars in 2020?,114.96,augmented,113.75,True,1.089
28,two_col_3680.png,What is the largest country in South America?,Brazil,augmented,8515770,False,1.396
29,two_col_3680.png,What is Argentina's total area?,2780400,augmented,8515770,False,1.209
30,two_col_22285.png,Which region had the highest share of the global animal health care market value in 2017?,North America,augmented,30.6%,False,1.108
31,two_col_22285.png,What percentage of the total value of the animal health care market was held by North America in 2017?,30.6,augmented,30.6%,True,1.088
