id,question,arabic_question,translation_time_sec
1,"Which number should be written in place of the question mark?
<image1>",ما هو الرقم الذي يجب كتابته مكان العلامة الاستفهام؟,6.99
2,"Which bike is most expensive?
<image1>",ما هو الدراجة الأغلى؟,5.17
3,"Which kite has the longest string?
<image1>",أي الريشة لديها خيط أطول؟,6.34
4,"How many different digits can you find in this picture?
<image1>",كم عدد الأرقام المختلفة التي يمكنك العثور عليها في هذه الصورة؟,6.42
5,"Which number do you have to write in the last daisy?
<image1>",ما هو الرقم الذي يجب أن تكتبه في الزهرة الأخيرة؟,5.01
6,"Misty the cat has five kittens: two of them are striped, one spotty, the rest of them are absolutely white. In which picture can we see the kittens of Misty, knowing that the ears of one of them are of different colour?
<image1>",المُستَقِرَّة، وواحدة مُنْقَطَّة، والباقية بيضاء تمامًا. في أي صورة يمكننا رؤية قطط Misty، مع العلم أن أذن أحد القطط لونها مختلف؟,8.75
7,"How many bricks are missing in the wall?
<image1>",كم عدد الطوب المفقود في الجدار؟,9.44
8,"The sums of the all the three numbers on each side of the triangle are equal. Two numbers happened to be stained with ink. How much is the sum of these two numbers?
<image1>",مجموع الأعداد الثلاثة على كل ضلع من أضلاع المثلث متساوي. تعرضت عددين من الأعداد للتلوين بال черنيق. ما مجموع هذين العددين؟,18.97
9,"A squirrel is following the paths of labyrinth and collecting food for winter. Which stuff it will not be able to take?
<image1>",الحصار يتبع مسارات المأكول ويجمع طعامًا لشتاء. ما هو الشيء الذي لن يتمكن من حمله؟,12.64
10,"Four people can be seated at a square table. How many people at most could be seated if we pushed four tables of this kind together in one row?
<image1>",يمكن أن يجلس أربعة أشخاص حول طاولة مربعة. كم عدد الأشخاص الأقصى الذي يمكن أن يجلسوا إذا دمجنا أربع طاولات من هذا النوع في صف واحد؟,13.62
11,"Mike has built a construction, shown in the upper picture, from equal cubes. Lily has taken several cubes out of it, thus Mike's construction became such as we see in the lower picture. How many cubes has Lily taken?
<image1>",Mike قد أنشأ بناءً كما هو موضح في الصورة العلوية من مكعبات متساوية. لُيلى قد أخذت عدة مكعبات منه، لذلك أصبح بناء Mike كما نراه في الصورة السفلية. كم عدد المكعبات التي أخذتها لُيلى؟,12.52
12,"Now it is 2008. What is the total sum of these digits?
<image1>",الآن هو 2008. ما هو مجموع هذه الأرقام؟,10.87
13,"Which of these figures differs from the rest four?
<image1>",أي من هذه الأشكال يختلف عن الباقي أربعة؟,21.58
14,"Mary has written all the numbers from 1 to 30 . How many times has she written digit 2?
<image1>",كم مرة ظهرت الرقم 2؟,19.32
15,"Emily celebrated her birthday on Thursday, and her sister Liepa 8 days earlier. Which weekday was that?
<image1>",احتفلت إيميلي بميلادها يوم الخميس، واختها ليبيا قبل ذلك بثمانية أيام. ما هو اليوم الذي كان عليه ذلك؟,12.34
16,"How many points are there in the three unseen sides of dice?
<image1>",كم عدد النقاط الموجودة في الثلاثة أوجه غير المرئية من الوجهات؟,23.72
17,"A jump of a little kangaroo is three times shorter than its mother's. How many jumps should the little kangaroo make to cover the distance equal to 7 jumps of its mother?
<image1>",قفز كاجو صغير هو ثلاثة أضعاف أقصر من قفز أمه. كم عدد القفزات التي يجب أن يفعلها الكاجو الصغير لغطاء المسافة المساوية لـ 7 قفزات من أمه؟,14.08
18,"A fifteen-meter log has to be sawn into three-meter pieces. How many cuts are needed for that?
<image1>",كم عدد القطع المطلوبة؟,22.0
19,"Eve has taken 2 bananas to school. At first she changed each of them into 4 apples, later on she exchanged each apple into 3 mandarins. How many mandarins has Eve got? <image1>",أحضرت إيف 2 بَنَان إلى المدرسة. في البداية حوَّلت كل واحدة منهما إلى 4 تفاح، ثم تبادلت كل تفاحة إلى 3 مَنْدَارِين. كم عدد المَنْدَارِين التي لدى إيف؟,20.84
20,"How many plums (see the picture) weigh as much as an apple?
<image1>",كم من البرقوق (انظر الصورة) يبلغ وزنها نفس وزن التفاحة؟,6.57
21,"Which of the figures shown bellow cannot be cut out of the figure illustrated nearby?
<image1>
<image2>",أي من الأشكال الموضحة أدناه لا يمكن قطعه من الشكل الموضح بالقرب منه؟,8.42
22,"What time is it now, if after 6 hours and 30 minutes the clock will show 4:00?
<image1>",ما الوقت الآن، إذا مر 6 ساعات و30 دقيقة، سيُظهر العداد 4:00؟,13.56
23,"Tom bought a chocolate heart (see the picture) to Mary on her birthday.
<image1>
How many grams did the chocolate weigh, if each square weighs 10 grams?","توم اشتري حلوى قلب (انظر الصورة) لماري في عيد ميلادها.
<صورة 1>
كم غرام تزن الحلوى إذا كان كل مربع يزن 10 غرام؟",13.4
24,"A trip of the pupils to the zoo took 135 minutes.
<image1>
How many hours and minutes does it make?",استغرقت رحلة الطلاب إلى حديقة الحيوان 135 دقيقة. كم ساعة ودقيقة تُشكل؟,14.4
25,"A wooden block has 8 vertices. One vertex is cut off now (see the picture).
<image1>
How many vertices has the block now?",كتلة خشبية لها 8 رؤوس. تم قطع رأس واحد الآن (انظر الصورة). كم عدد الرؤوس الآن؟,9.88
